ASIN 或商品=["B0DHPN1DMJ"],报告范围=["每月"],选择年份=["2025"],选择月份=["12 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"ikarao break x1","87","1184","30211","1394","4.61","511","43.16","27","5.28","531.99","223.99","6","75","125","89","7.52","3","3.37","531.99","249.99","2","18","28","40","3.38","2","5.0","531.99","223.99","1","8","17","2025-12-31"
"ikarao shell s1","11","2484","59504","3973","6.68","1235","49.72","398","32.23","262.49","223.99","39","145","260","238","9.58","46","19.33","262.49","223.99","5","26","50","119","4.79","20","16.81","262.49","223.99","2","18","30","2025-12-31"
"professional karaoke machine","85","3117","82390","3117","3.78","1115","35.77","28","2.51","289.99","223.99","22","130","228","151","4.84","2","1.32","167.99","223.99","4","17","37","26","0.83","0","0.0","179.99",,"2","4","10","2025-12-31"
"ikarao s1","55","314","8211","567","6.91","184","58.6","76","41.3","262.49","223.99","11","16","35","26","8.28","4","15.38","262.49","249.99","2","1","5","19","6.05","3","15.79","262.49","249.99","2","1","4","2025-12-31"
"karaoke machine with screen","7","21243","510387","27936","5.47","8496","39.99","378","4.45","119.99","223.99","385","1153","1763","1389","6.54","58","4.18","116.99","223.99","58","191","313","286","1.35","16","5.59","99.98","223.99","17","56","77","2025-12-31"
"ikarao portable karaoke machine","33","107","3275","151","4.61","58","54.21","23","39.66","249.99","223.99","2","4","10","19","17.76","12","63.16","223.99","223.99","1","2","4","12","11.21","8","66.67","223.99","223.99","1","1","3","2025-12-31"
"portable karaoke machine adults","98","1005","24173","1017","4.21","508","50.55","19","3.74","59.99","223.99","48","97","123","170","16.92","5","2.94","59.99","223.99","16","33","39","53","5.27","1","1.89","59.99","223.99","4","14","13","2025-12-31"
"karafun karaoke machine","16","2040","50934","3317","6.51","784","38.43","162","20.66","99.99","223.99","54","116","123","165","8.09","30","18.18","59.99","223.99","13","31","25","52","2.55","4","7.69","25.99","223.99","6","9","13","2025-12-31"
"karaoke machine","1","930979","21871649","866103","3.96","361632","38.84","6879","1.9","59.99","223.99","24165","61185","80217","107341","11.53","1099","1.02","56.99","223.99","8572","20244","24711","34885","3.75","371","1.06","59.99","223.99","3364","7684","8574","2025-12-31"
"tv karaoke system","67","1237","31340","1530","4.88","437","35.33","21","4.81","99.99","223.99","19","64","129","68","5.5","7","10.29","101.96","223.99","4","9","22","23","1.86","2","8.7","109.99","223.99","3","2","9","2025-12-31"
"karaoke machine with screen lyrics display","42","2292","57064","2223","3.9","961","41.93","25","2.6","129.99","223.99","33","91","204","145","6.33","7","4.83","151.99","223.99","3","9","29","50","2.18","4","8.0","134.49","223.99","1","4","11","2025-12-31"
"karoke machine with bluetooth and wireless microphone for adults","61","4607","119719","2357","1.97","1748","37.94","24","1.37","59.99","223.99","149","346","404","505","10.96","5","0.99","58.99","223.99","46","108","130","176","3.82","2","1.14","56.99","223.99","16","37","52","2025-12-31"
"portable karaoke machine","10","23095","555568","23176","4.17","10021","43.39","210","2.1","29.99","223.99","757","1925","2407","3136","13.58","37","1.18","26.99","223.99","259","691","805","1025","4.44","15","1.46","26.99","223.99","89","273","265","2025-12-31"
"ikarao shell 2","54","85","2426","140","5.77","48","56.47","29","60.42","223.99","223.99","2","0","6","14","16.47","7","50.0","234.14","223.99","1","0","3","9","10.59","5","55.56","234.14","223.99","0","0","3","2025-12-31"
"karaoke equipment","83","4861","121576","3200","2.63","1181","24.3","26","2.2","89.99","223.99","36","134","221","144","2.96","2","1.39","69.99","223.99","11","16","28","38","0.78","0","0.0","69.99",,"3","7","8","2025-12-31"
"karaoke machine on clearance","91","1595","72947","2051","2.81","519","32.54","14","2.7","63.99","223.99","19","78","170","100","6.27","3","3.0","59.99","223.99","4","17","27","38","2.38","1","2.63","59.99","223.99","2","9","7","2025-12-31"
"karaoke machine with autotune","88","1725","45705","1831","4.01","871","50.49","23","2.64","123.48","223.99","69","131","167","137","7.94","4","2.92","123.48","223.99","13","23","19","36","2.09","1","2.78","123.48","223.99","1","7","5","2025-12-31"
"home karaoke system","72","2040","53650","2436","4.54","763","37.4","23","3.01","101.96","223.99","53","123","174","156","7.65","5","3.21","89.99","223.99","20","39","34","57","2.79","1","1.75","89.99","223.99","7","12","14","2025-12-31"
"magic sing karaoke","99","2700","64421","2081","3.23","948","35.11","16","1.69","449.99","223.99","14","79","177","91","3.37","1","1.1","298.99","223.99","2","5","14","10","0.37","1","10.0","501.0","223.99","1","1","3","2025-12-31"
"karaoke set","60","6315","154777","3561","2.3","2200","34.84","41","1.86","53.68","223.99","151","383","454","550","8.71","4","0.73","49.99","223.99","48","114","106","174","2.76","0","0.0","39.99",,"6","47","44","2025-12-31"
"karaoke machine for adults with lyrics display","39","3406","96182","3342","3.47","1330","39.05","45","3.38","119.99","223.99","59","217","315","245","7.19","9","3.67","101.27","223.99","14","44","61","83","2.44","1","1.2","91.19","223.99","6","18","18","2025-12-31"
