ASIN 或商品=["B0DHPN1DMJ"],报告范围=["每月"],选择年份=["2025"],选择月份=["9 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"kareokee machine with bluetooth and wireless microphone for adults","12","8679","199543","4911","2.46","3470","39.98","45","1.3","64.96","246.47","439","1611","701","1041","11.99","5","0.48","59.49","249.99","135","528","178","230","2.65","1","0.43","53.52","246.47","46","122","36","2025-09-30"
"portable karaoke machine with 2 wireless microphones","27","2837","67700","1902","2.81","1338","47.16","18","1.35","21.99","246.47","301","658","210","555","19.56","1","0.18","20.89","246.47","159","239","94","112","3.95","0","0.0","18.99",,"39","50","16","2025-09-30"
"singing machine","43","2920","71825","1287","1.79","1161","39.76","13","1.12","79.99","249.99","48","362","339","148","5.07","1","0.68","74.99","246.47","8","64","37","21","0.72","0","0.0","59.49",,"2","9","6","2025-09-30"
"ikarao karaoke","68","175","3935","287","7.29","76","43.43","14","18.42","299.99","249.99","1","24","29","9","5.14","2","22.22","349.98","246.47","1","3","5","2","1.14","0","0.0","349.98",,"0","0","2","2025-09-30"
"karaoke with wireless microphone","88","57","1279","27","2.11","26","45.61","2","7.69","99.95","249.99","1","7","7","7","12.28","1","14.29","99.95","249.99","1","4","1","3","5.26","1","33.33","99.95","349.99","0","1","1","2025-09-30"
"karaoke machine for adults karafun","82","12","242","22","9.09","10","83.33","3","30.0","246.47","246.47","0","5","2","1","8.33","1","100.0","246.47","246.47","0","1","0","1","8.33","1","100.0","246.47","246.47","0","1","0","2025-09-30"
"travel karaoke machine","85","209","4726","258","5.46","102","48.8","8","7.84","25.49","246.47","18","48","20","32","15.31","2","6.25","21.99","246.47","6","16","5","8","3.83","0","0.0","21.99",,"2","4","1","2025-09-30"
"shell 2 karaoke","76","7","175","13","7.43","4","57.14","4","100.0","249.99","249.99","2","1","0","1","14.29","1","100.0","249.99","249.99","0","1","0","1","14.29","1","100.0","249.99","249.99","0","1","0","2025-09-30"
"amazon karaoke machine","80","647","18116","804","4.44","168","25.97","1","0.6","64.96","246.47","14","85","31","23","3.55","1","4.35","69.99","246.47","4","13","2","8","1.24","0","0.0","53.52",,"2","5","0","2025-09-30"
"professional karaoke machine for adults","56","1162","32235","1023","3.17","384","33.05","10","2.6","349.98","246.47","20","105","107","81","6.97","1","1.23","169.99","249.99","5","30","18","8","0.69","0","0.0","119.99",,"1","5","1","2025-09-30"
"karaoke for tv","67","1072","24676","849","3.44","393","36.66","8","2.04","69.99","249.99","39","188","91","66","6.16","1","1.52","74.99","249.99","8","29","17","11","1.03","0","0.0","74.99",,"2","5","2","2025-09-30"
"karaoke machine hdmi","92","202","6057","272","4.49","109","53.96","14","12.84","129.99","246.47","16","49","19","11","5.45","1","9.09","119.99","246.47","2","7","0","3","1.49","0","0.0","72.99",,"1","2","0","2025-09-30"
"노래방 마이크","74","79","1791","81","4.52","41","51.9","3","7.32","39.99","249.99","3","21","4","11","13.92","1","9.09","39.99","246.47","1","4","1","2","2.53","1","50.0","59.49","246.47","0","2","0","2025-09-30"
"karoke","38","1519","40675","1637","4.02","551","36.27","10","1.81","53.52","246.47","82","279","87","171","11.26","1","0.58","39.99","246.47","24","86","28","36","2.37","0","0.0","32.99",,"13","15","5","2025-09-30"
"ikarao shell s2","11","235","5166","281","5.44","118","50.21","67","56.78","249.99","249.99","10","52","23","18","7.66","14","77.78","249.99","249.99","0","10","5","5","2.13","4","80.0","246.47","246.47","0","3","2","2025-09-30"
"ikaro karaoke machine","52","110","2794","173","6.19","45","40.91","10","22.22","249.99","249.99","5","14","17","9","8.18","2","22.22","299.99","249.99","2","3","3","3","2.73","1","33.33","299.99","249.99","1","1","1","2025-09-30"
"karaoke machine for adults","2","92180","2139338","97200","4.54","38546","41.82","1272","3.3","74.99","246.47","4748","16746","7972","9305","10.09","185","1.99","59.99","246.47","1387","4452","1705","2011","2.18","48","2.39","59.49","246.47","472","1041","286","2025-09-30"
"karaoke machine ikarao","50","57","1243","80","6.44","21","36.84","8","38.1","249.99","246.47","1","10","7","6","10.53","3","50.0","249.99","249.99","0","3","3","3","5.26","1","33.33","319.99","319.99","0","1","2","2025-09-30"
"karaoke machine for adults with screen","35","518","12091","555","4.59","207","39.96","9","4.35","159.98","246.47","12","73","41","30","5.79","3","10.0","159.98","246.47","2","10","6","6","1.16","1","16.67","129.99","249.99","0","4","1","2025-09-30"
"karokee machine with bluetooth and wireless microphone for adults","8","11030","305719","7669","2.51","4043","36.65","57","1.41","62.99","246.47","563","1959","845","1211","10.98","7","0.58","59.49","246.47","191","616","228","276","2.5","3","1.09","59.49","246.47","74","146","31","2025-09-30"
"karaoke","4","42591","1006327","33130","3.29","13430","31.53","358","2.67","59.49","249.99","1580","5618","2280","2831","6.65","41","1.45","53.52","246.47","436","1279","465","581","1.36","10","1.72","53.52","246.47","130","308","77","2025-09-30"
"ikarao break x1","32","532","12880","736","5.71","241","45.3","12","4.98","599.99","249.99","4","62","93","33","6.2","3","9.09","599.99","249.99","2","12","12","9","1.69","1","11.11","599.99","249.99","1","3","3","2025-09-30"
"kareoke machine","24","1590","45753","1757","3.84","665","41.82","8","1.2","59.49","246.47","122","318","111","218","13.71","1","0.46","59.49","246.47","43","99","29","58","3.65","1","1.72","59.49","246.47","15","30","6","2025-09-30"
"karaoke systems","64","1393","36075","908","2.52","416","29.86","8","1.92","119.99","246.47","25","141","86","80","5.74","1","1.25","79.99","246.47","6","34","18","16","1.15","0","0.0","89.99",,"1","8","2","2025-09-30"
"ikaroo karaoke machine","9","566","12639","960","7.6","216","38.16","63","29.17","249.99","249.99","11","96","62","45","7.95","14","31.11","299.99","249.99","3","17","15","15","2.65","7","46.67","249.99","249.99","2","8","2","2025-09-30"
"karaoke machines","18","2182","57879","2044","3.53","731","33.5","20","2.74","74.99","249.99","61","314","167","137","6.28","3","2.19","64.96","249.99","17","54","31","30","1.37","2","6.67","53.52","249.99","7","12","3","2025-09-30"
