ASIN 或商品=["B0DHPN1DMJ"],报告范围=["每月"],选择年份=["2025"],选择月份=["6 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke machines","41","1513","38058","1262","3.32","500","33.05","16","3.2","74.99","269.99","32","224","134","103","6.81","2","1.94","59.49","246.47","7","53","30","21","1.39","0","0.0","74.99",,"2","13","6","2025-06-30"
"jbl karaoke","88","4117","83988","711","0.85","1920","46.64","5","0.26","274.55","246.47","63","434","681","260","6.32","1","0.38","249.99","269.99","12","66","91","32","0.78","0","0.0","249.95",,"2","8","17","2025-06-30"
"karoke machine","25","1307","34846","1487","4.27","596","45.6","11","1.85","59.49","269.99","74","289","148","190","14.54","4","2.11","59.49","246.47","27","92","48","51","3.9","2","3.92","59.49","246.47","6","27","11","2025-06-30"
"smart karaoke","98","73","1419","87","6.13","35","47.95","1","2.86","269.0","269.99","6","10","12","5","6.85","1","20.0","299.0","269.99","0","1","3","1","1.37","1","100.0","269.99","269.99","0","1","0","2025-06-30"
"mini karaoke machine","22","19603","452831","2056","0.45","9146","46.66","26","0.28","15.99","246.47","861","4409","2255","3459","17.65","5","0.14","14.24","269.99","370","1747","836","887","4.52","1","0.11","15.8","349.99","128","479","202","2025-06-30"
"karaoke equipment","64","1366","34148","989","2.9","347","25.4","5","1.44","149.99","246.47","17","84","85","44","3.22","2","4.55","99.99","246.47","3","13","9","3","0.22","0","0.0","69.99",,"0","1","2","2025-06-30"
"speakers","52","267694","5303372","1183","0.02","48592","18.15","8","0.02","59.99","269.99","2895","9529","5726","7408","2.77","2","0.03","39.99","269.99","802","2159","1175","1319","0.49","0","0.0","26.42",,"319","536","214","2025-06-30"
"karaoke machine with autotune","90","755","18339","656","3.58","414","54.83","6","1.45","99.99","246.47","27","176","119","62","8.21","1","1.61","129.99","246.47","2","30","17","10","1.32","0","0.0","129.99",,"0","6","1","2025-06-30"
"karaoke set","53","1231","29403","1138","3.87","407","33.06","15","3.69","59.49","269.99","54","160","99","94","7.64","1","1.06","59.49","246.47","14","41","20","18","1.46","0","0.0","59.49",,"6","8","2","2025-06-30"
"portable karaoke machine with 2 wireless microphones","63","1254","30514","918","3.01","496","39.55","14","2.82","59.49","269.99","65","249","102","134","10.69","1","0.75","59.49","269.99","22","63","29","34","2.71","0","0.0","59.49",,"5","16","6","2025-06-30"
