ASIN 或商品=["B0FNCQW2K3"],报告范围=["每月"],选择年份=["2026"],选择月份=["3 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karoke q\","49","570","34152","569","1.67","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-03-31"
"karaoke hdmi","66","139","3537","94","2.66","65","46.76","1","1.54","99.99","229.99","4","15","24","8","5.76","1","12.5","119.99","229.99","1","0","6","1","0.72","0","0.0","279.99",,"1","0","0","2026-03-31"
"karoke machine with bluetooth and wireless microphone for adults","17","1238","35468","123","0.35","402","32.47","2","0.5","53.99","229.99","65","161","89","139","11.23","2","1.44","47.68","229.99","30","50","29","38","3.07","1","2.63","47.68","234.99","14","16","4","2026-03-31"
"jukebox machine","81","1428","28270","49","0.17","464","32.49","1","0.22","146.52","229.99","0","41","86","98","6.86","1","1.02","159.89","229.99","0","10","9","3","0.21","0","0.0","38.99",,"0","0","1","2026-03-31"
"karaoke machine for tv","12","3338","86733","1407","1.62","1139","34.12","3","0.26","101.96","229.99","145","447","265","187","5.6","1","0.53","79.99","229.99","25","80","44","46","1.38","0","0.0","59.99",,"7","21","14","2026-03-31"
"ultimate party karaoke speaker 15.4 smart screen","74","169","3370","67","1.99","24","14.2","1","4.17","199.95","234.99","1","2","1","3","1.78","1","33.33","234.99","234.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-03-31"
"karaoke machine for adults","5","98879","2412521","9937","0.41","38217","38.65","65","0.17","72.19","229.99","5581","15571","8197","9558","9.67","10","0.1","59.99","234.99","1759","4043","1897","2502","2.53","1","0.04","59.99","234.99","601","1163","442","2026-03-31"
"portable bluetooth karaoke speaker system","100","22","731","7","0.96","9","40.91","1","11.11","135.99","229.98","0","2","0","3","13.64","1","33.33","59.99","229.98","0","1","0","0","0.0","0",,,,"0","0","0","2026-03-31"
"karaoke machine with built in songs","57","110","3526","82","2.33","46","41.82","4","8.7","229.99","239.99","0","16","13","4","3.64","1","25.0","59.98","239.99","0","2","1","0","0.0","0",,,,"0","0","0","2026-03-31"
"karaoke machine with screen","8","4754","119616","3160","2.64","1923","40.45","21","1.09","139.99","234.99","172","654","501","271","5.7","3","1.11","159.99","234.99","24","89","67","38","0.8","0","0.0","79.99",,"6","18","4","2026-03-31"
