ASIN 或商品=["B0FNCQW2K3"],报告范围=["每月"],选择年份=["2025"],选择月份=["11 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"ikarao shell","31","126","3316","60","1.81","64","50.79","4","6.25","265.98","170.99","4","20","25","14","11.11","2","14.29","265.98","170.99","0","5","8","2","1.59","1","50.0","170.99","170.99","0","0","2","2025-11-30"
"karaoke screen lyrics display","98","484","10977","331","3.02","92","19.01","3","3.26","139.99","170.99","2","29","23","6","1.24","0","0.0","205.0",,"0","2","1","1","0.21","0","0.0","205.0",,"0","1","0","2025-11-30"
"karaoke machine with lyrics hdmi","57","1","22","1","4.55","1","100.0","1","100.0","179.99","179.99","0","0","1","1","100.0","1","100.0","179.99","179.99","0","0","1","1","100.0","1","100.0","179.99","179.99","0","0","1","2025-11-30"
"karaoke machine with screen","6","16349","380669","6368","1.67","6454","39.48","69","1.07","108.28","170.99","351","1524","1778","1010","6.18","4","0.4","129.99","170.99","64","243","294","156","0.95","1","0.64","79.0","170.99","10","44","53","2025-11-30"
"karaoke machine for tv hdmi","24","564","15693","419","2.67","266","47.16","8","3.01","99.99","179.99","11","82","58","37","6.56","2","5.41","85.19","170.99","5","11","8","6","1.06","1","16.67","123.48","170.99","2","1","2","2025-11-30"
"ikarao karaoke","18","540","13469","425","3.16","240","44.44","11","4.58","279.99","179.99","9","46","78","36","6.67","3","8.33","249.99","170.99","1","2","14","10","1.85","1","10.0","234.14","170.99","1","1","3","2025-11-30"
"karaoke for tv","71","2871","67090","580","0.86","988","34.41","4","0.4","89.99","179.99","72","270","296","146","5.09","0","0.0","89.99",,"11","45","49","21","0.73","0","0.0","99.99",,"4","7","6","2025-11-30"
"karaoke machine portable","47","1391","33552","18","0.05","611","43.93","1","0.16","40.48","170.99","68","249","125","159","11.43","1","0.63","36.99","170.99","14","67","33","40","2.88","1","2.5","53.68","170.99","5","17","7","2025-11-30"
"karaoke machine with lyrics","29","1403","35660","868","2.43","621","44.26","11","1.77","89.99","170.99","42","183","162","91","6.49","1","1.1","74.99","170.99","6","27","27","18","1.28","0","0.0","64.99",,"2","4","5","2025-11-30"
"karaoke hdmi","60","439","10194","242","2.37","227","51.71","4","1.76","99.99","170.99","9","49","86","23","5.24","2","8.7","89.99","170.99","1","8","8","5","1.14","0","0.0","89.99",,"0","2","2","2025-11-30"
"hdmi karaoke machine","46","487","13054","356","2.73","213","43.74","11","5.16","109.99","170.99","11","77","63","19","3.9","1","5.26","179.99","179.99","0","4","7","5","1.03","0","0.0","72.99",,"0","1","1","2025-11-30"
"autotune karaoke machine","94","599","14454","394","2.73","278","46.41","2","0.72","129.98","170.99","24","82","101","31","5.18","0","0.0","151.99",,"2","16","10","2","0.33","0","0.0","54.74",,"0","1","1","2025-11-30"
"karaoke machine with hdmi","25","456","11875","330","2.78","242","53.07","6","2.48","109.99","170.99","18","65","93","22","4.82","2","9.09","103.99","179.99","2","12","7","4","0.88","1","25.0","53.68","179.99","0","2","2","2025-11-30"
"karaoke with lyrics on screen","9","7206","144628","5730","3.96","299","4.15","11","3.68","99.99","170.99","25","66","78","49","0.68","2","4.08","99.99","170.99","5","13","13","6","0.08","1","16.67","64.96","170.99","0","2","2","2025-11-30"
"karaoke equipment","68","4016","102528","466","0.45","1114","27.74","2","0.18","128.79","170.99","49","230","263","101","2.51","1","0.99","61.71","170.99","9","27","21","19","0.47","0","0.0","53.68",,"2","8","2","2025-11-30"
"pro karaoke machine for adults","99","1398","31743","319","1.0","690","49.36","3","0.43","109.99","170.99","39","160","175","139","9.94","0","0.0","94.99",,"12","30","34","25","1.79","0","0.0","123.48",,"1","12","6","2025-11-30"
"karaoke system","75","10966","273710","622","0.23","3355","30.59","2","0.06","113.97","170.99","197","739","848","444","4.05","0","0.0","101.96",,"35","107","126","84","0.77","0","0.0","74.99",,"11","24","21","2025-11-30"
