ASIN 或商品=["B0FNCQW2K3"],报告范围=["每月"],选择年份=["2025"],选择月份=["10 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"ikaraoke","26","30","868","8","0.92","19","63.33","1","5.26","219.99","219.99","1","10","6","1","3.33","1","100.0","219.99","219.99","0","0","1","0","0.0","0",,,,"0","0","0","2025-10-31"
"karaoke portable systems","51","695","22468","115","0.51","219","31.51","1","0.46","139.99","219.99","6","84","46","24","3.45","0","0.0","159.99",,"1","6","5","5","0.72","0","0.0","113.99",,"1","0","1","2025-10-31"
"vizio soundbar","98","37614","767263","73","0.01","16037","42.64","0","0.0","99.99",,"217","3339","4878","2429","6.46","0","0.0","99.99",,"39","651","875","570","1.52","0","0.0","92.98",,"6","196","213","2025-10-31"
"karaoke machine for adults with screen","11","819","19581","116","0.59","336","41.03","3","0.89","159.97","219.99","26","75","142","43","5.25","1","2.33","159.98","219.99","4","10","14","5","0.61","1","20.0","119.99","219.99","1","2","1","2025-10-31"
"wireless karaoke machine","25","948","25214","14","0.06","320","33.76","1","0.31","59.49","2209.38","39","124","89","95","10.02","1","1.05","42.99","2209.38","13","36","27","16","1.69","0","0.0","55.98",,"1","5","6","2025-10-31"
"karaoke mixer with key control","91","90","2453","6","0.24","47","52.22","2","4.26","159.98","219.99","0","9","9","3","3.33","0","0.0","199.99",,"0","1","0","0","0.0","0",,,,"0","0","0","2025-10-31"
"best karaoke machine for adults","62","1503","38533","78","0.2","607","40.39","1","0.16","129.99","219.99","52","204","161","121","8.05","0","0.0","119.99",,"13","44","25","28","1.86","0","0.0","119.99",,"8","11","4","2025-10-31"
"high end karaoke system","58","600","27115","88","0.32","186","31.0","1","0.54","359.99","219.99","2","50","45","7","1.17","0","0.0","222.99",,"0","5","1","3","0.5","0","0.0","222.99",,"0","3","0","2025-10-31"
"ikaro shell s3 with hdmi","33","1","2","1","50.0","1","100.0","1","100.0","219.99","219.99","0","1","0","1","100.0","1","100.0","219.99","219.99","0","1","0","0","0.0","0",,,,"0","0","0","2025-10-31"
"karaoke compatible with smart tv","80","341","7219","15","0.21","127","37.24","2","1.57","64.99","219.99","19","47","28","23","6.74","0","0.0","59.49",,"4","7","4","4","1.17","0","0.0","59.49",,"1","2","1","2025-10-31"
"ikarao joog","31","3","13","2","15.38","2","66.67","1","50.0","219.99","219.99","0","0","0","1","33.33","1","100.0","219.99","219.99","0","0","0","0","0.0","0",,,,"0","0","0","2025-10-31"
"singing machine karaoke system","72","703","16827","25","0.15","269","38.26","2","0.74","119.99","219.99","13","84","81","31","4.41","0","0.0","79.49",,"3","14","8","6","0.85","0","0.0","79.99",,"2","2","1","2025-10-31"
"karaoke tv","66","498","11545","104","0.9","138","27.71","0","0.0","109.99",,"7","43","45","27","5.42","0","0.0","119.96",,"1","5","12","6","1.2","0","0.0","149.97",,"0","1","4","2025-10-31"
