ASIN 或商品=["B0FNCQW2K3"],报告范围=["每月"],选择年份=["2025"],选择月份=["12 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke machine for adults with songs","44","543","11747","129","1.1","227","41.8","4","1.76","119.99","179.99","14","37","44","50","9.21","1","2.0","99.99","170.99","4","12","4","10","1.84","0","0.0","129.99",,"1","1","1","2025-12-31"
"tableta para karaoke","70","39","846","9","1.06","20","51.28","2","10.0","85.99","179.99","2","5","5","6","15.38","1","16.67","85.99","179.99","1","1","1","1","2.56","0","0.0","22.49",,"0","1","0","2025-12-31"
"home party karaoke machine with lyric display","86","10","188","7","3.72","5","50.0","1","20.0","179.99","179.99","0","0","1","5","50.0","1","20.0","179.99","179.99","0","0","1","0","0.0","0",,,,"0","0","0","2025-12-31"
"karaoke machines for adults","24","888","24564","57","0.23","300","33.78","1","0.33","116.99","179.99","15","32","64","66","7.43","1","1.52","99.98","179.99","7","10","12","24","2.7","1","4.17","72.99","179.99","2","6","5","2025-12-31"
"singing machine karaoke","40","14626","345807","160","0.05","4729","32.33","5","0.11","79.99","179.99","181","638","1142","1016","6.95","1","0.1","63.99","170.99","55","165","254","305","2.09","0","0.0","59.99",,"18","75","88","2025-12-31"
"all-in-one karaoke systems with led lights and lyrics display","76","284","6112","32","0.52","113","39.79","1","0.88","123.48","179.99","11","16","30","25","8.8","1","4.0","75.99","179.99","4","3","7","11","3.87","0","0.0","69.99",,"3","0","4","2025-12-31"
"karaoke machine hdmi","42","576","15399","192","1.25","284","49.31","3","1.06","119.99","179.99","6","34","87","38","6.6","1","2.63","119.99","170.99","2","4","12","17","2.95","0","0.0","159.98",,"1","3","6","2025-12-31"
"karaoke machine with lyrics display screen for adults","48","461","11439","100","0.87","215","46.64","3","1.4","123.48","179.99","10","32","45","41","8.89","1","2.44","179.99","179.99","1","6","12","13","2.82","0","0.0","159.99",,"0","3","3","2025-12-31"
"sistema de karaoke profesional","97","283","6281","3","0.05","101","35.69","1","0.99","170.99","170.99","2","11","20","15","5.3","1","6.67","85.19","170.99","0","0","5","0","0.0","0",,,,"0","0","0","2025-12-31"
"kids karaoke machine built in lyrics","94","3","60","4","6.67","3","100.0","1","33.33","58.99","179.99","0","1","1","1","33.33","1","100.0","179.99","179.99","0","0","0","0","0.0","0",,,,"0","0","0","2025-12-31"
"karaoke machine screen","52","352","8545","75","0.88","122","34.66","3","2.46","149.99","179.99","5","11","32","23","6.53","1","4.35","159.99","179.99","0","5","3","10","2.84","0","0.0","119.99",,"0","3","1","2025-12-31"
"karaoke machine with screen nd mics","73","5","70","5","7.14","2","40.0","2","100.0","179.99","179.99","0","0","0","1","20.0","1","100.0","179.99","179.99","0","0","0","0","0.0","0",,,,"0","0","0","2025-12-31"
"karaoke with screen","39","1934","48409","361","0.75","722","37.33","4","0.55","139.99","179.99","27","88","124","94","4.86","1","1.06","159.99","170.99","0","7","18","21","1.09","0","0.0","129.99",,"0","1","5","2025-12-31"
"karaoke with lyrics","90","1642","57608","261","0.45","210","12.79","1","0.48","69.99","179.99","12","26","41","37","2.25","0","0.0","59.99",,"6","6","14","15","0.91","0","0.0","24.99",,"2","2","6","2025-12-31"
"ikarao karaoke machine","1","15553","386088","6384","1.65","7294","46.9","146","2.0","262.49","179.99","298","908","1607","1474","9.48","30","2.04","262.49","179.99","70","208","331","513","3.3","5","0.97","262.49","170.99","29","96","136","2025-12-31"
"karaoke hdmi","53","548","14823","146","0.98","254","46.35","1","0.39","99.99","179.99","10","49","77","35","6.39","1","2.86","99.98","179.99","0","10","9","6","1.09","0","0.0","89.99",,"0","1","3","2025-12-31"
"ikarao shell s3 karaoke machine","43","157","4461","111","2.49","90","57.32","12","13.33","191.99","179.99","1","13","20","10","6.37","0","0.0","159.99",,"0","1","1","3","1.91","0","0.0","159.98",,"0","1","1","2025-12-31"
"karaoke","8","159435","3832871","807","0.02","47963","30.08","16","0.03","59.99","179.99","3621","8655","10336","11627","7.29","3","0.03","49.99","179.99","1056","2434","2748","3380","2.12","2","0.06","43.67","170.99","386","869","845","2025-12-31"
"ikarao smart karaoke machine","14","486","16540","303","1.83","222","45.68","5","2.25","265.97","179.99","19","34","46","46","9.47","1","2.17","265.97","179.99","5","4","12","18","3.7","1","5.56","304.99","179.99","3","2","6","2025-12-31"
