ASIN 或商品=["B0CLLT85Y6"],报告范围=["每月"],选择年份=["2025"],选择月份=["12 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"professional karaoke machine","25","3117","82390","1297","1.57","1115","35.77","21","1.88","289.99","531.99","22","130","228","151","4.84","2","1.32","167.99","531.99","4","17","37","26","0.83","0","0.0","179.99",,"2","4","10","2025-12-31"
"ikarao break x 1","59","7","73","7","9.59","3","42.86","3","100.0","531.99","531.99","0","2","0","1","14.29","1","100.0","531.99","531.99","0","1","0","1","14.29","1","100.0","531.99","531.99","0","1","0","2025-12-31"
"ikarao store","69","4","57","4","7.02","3","75.0","1","33.33","223.99","549.99","0","0","0","1","25.0","1","100.0","549.99","549.99","0","0","0","1","25.0","1","100.0","549.99","549.99","0","0","0","2025-12-31"
"ikarao break x2 karaoke machine","22","661","17758","598","3.37","318","48.11","15","4.72","332.49","549.99","7","47","92","85","12.86","2","2.35","332.49","531.99","3","6","23","38","5.75","2","5.26","332.49","531.99","1","1","8","2025-12-31"
"ikarao shell s1 10.1-inch smart karaoke machine","58","123","3819","83","2.17","69","56.1","1","1.45","262.49","531.99","0","2","12","17","13.82","1","5.88","265.96","531.99","0","1","6","11","8.94","1","9.09","265.97","531.99","0","0","4","2025-12-31"
"￼karaoke machine with removable screen￼","60","5","100","5","5.0","5","100.0","3","60.0","549.99","549.99","0","0","4","1","20.0","1","100.0","549.99","549.99","0","0","1","1","20.0","1","100.0","549.99","549.99","0","0","1","2025-12-31"
"ikarao karaoke machine for adults, with lyrics display built-in 13.3"" screen, truly all in one karaoke machine with 2 wireless microphone (hidden & self charging), 460w bluetooth speaker for party, tv","16","21","382","15","3.93","9","42.86","7","77.78","531.99","531.99","0","2","3","5","23.81","5","100.0","531.99","531.99","0","2","1","4","19.05","4","100.0","531.99","531.99","0","1","1","2025-12-31"
"karaoke machine with screen","9","21243","510387","12558","2.46","8496","39.99","52","0.61","119.99","549.99","385","1153","1763","1389","6.54","7","0.5","116.99","549.99","58","191","313","286","1.35","1","0.35","99.98","549.99","17","56","77","2025-12-31"
"best kareoke machine","65","59","1366","33","2.42","20","33.9","1","5.0","59.99","549.99","3","3","7","4","6.78","1","25.0","59.99","549.99","0","1","1","1","1.69","1","100.0","549.99","549.99","0","1","0","2025-12-31"
"ikarao break","42","96","2759","83","3.01","35","36.46","13","37.14","349.99","531.99","0","8","13","2","2.08","1","50.0","262.49","549.99","0","0","1","1","1.04","1","100.0","549.99","549.99","0","0","1","2025-12-31"
"ktv","98","2029","38798","495","1.28","427","21.04","4","0.94","332.49","549.99","11","27","54","31","1.53","0","0.0","349.99",,"0","3","1","2","0.1","0","0.0","99.99",,"0","1","0","2025-12-31"
"jbl karaoke machine with 2 microphones","36","15278","320451","1196","0.37","6656","43.57","7","0.11","279.95","531.99","216","894","1627","1117","7.31","1","0.09","279.95","531.99","65","171","265","163","1.07","0","0.0","199.95",,"18","33","37","2025-12-31"
"ikarao","5","5423","145830","4477","3.07","2562","47.24","339","13.23","265.96","549.99","83","275","506","382","7.04","45","11.78","265.96","549.99","18","41","94","113","2.08","13","11.5","265.97","549.99","8","20","31","2025-12-31"
"ikarao break 2 karaoke machine","67","10","268","10","3.73","6","60.0","1","16.67","299.99","549.99","0","1","0","2","20.0","1","50.0","299.9","549.99","0","0","0","1","10.0","1","100.0","549.99","549.99","0","0","0","2025-12-31"
