ASIN 或商品=["B0CLLT85Y6"],报告范围=["每月"],选择年份=["2026"],选择月份=["1 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"kareoke","36","2547","69503","769","1.11","763","29.96","2","0.26","56.99","531.98","81","208","177","185","7.26","0","0.0","49.99",,"26","61","37","54","2.12","0","0.0","49.99",,"8","20","14","2026-01-31"
"karaoke professional","64","600","14463","271","1.87","228","38.0","3","1.32","252.69","531.98","1","50","65","30","5.0","0","0.0","129.99",,"0","11","11","1","0.17","0","0.0","99.99",,"0","1","0","2026-01-31"
"cd karaoke machine","84","250","6104","1","0.02","104","41.6","1","0.96","75.99","549.99","6","15","17","19","7.6","1","5.26","75.99","549.99","1","2","1","5","2.0","0","0.0","53.04",,"1","0","0","2026-01-31"
"break x1 karaoke","23","52","1197","35","2.92","23","44.23","7","30.43","332.48","531.98","0","5","5","3","5.77","1","33.33","279.99","531.98","0","2","1","1","1.92","1","100.0","531.98","531.98","0","1","0","2026-01-31"
"professional karaoke machine for adults","39","824","26410","347","1.31","205","24.88","2","0.98","279.99","549.99","7","60","36","38","4.61","1","2.63","129.99","549.99","0","16","4","1","0.12","0","0.0","75.99",,"0","1","0","2026-01-31"
"microfono inlambrico ikarao","90","1","16","1","6.25","1","100.0","1","100.0","699.99","699.99","0","0","0","1","100.0","1","100.0","699.99","699.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-01-31"
"smart karaoke machine","41","483","11990","266","2.22","138","28.57","2","1.45","223.99","531.98","5","23","40","17","3.52","1","5.88","169.97","531.98","0","1","9","4","0.83","0","0.0","64.99",,"0","1","2","2026-01-31"
"kareoke machine","60","1411","43959","404","0.92","521","36.92","0","0.0","56.99",,"54","155","102","165","11.69","0","0.0","53.68",,"20","63","29","56","3.97","0","0.0","53.68",,"8","24","12","2026-01-31"
"karoke","50","1847","53420","423","0.79","554","29.99","1","0.18","53.68","531.98","65","167","138","157","8.5","0","0.0","33.99",,"23","54","32","43","2.33","0","0.0","34.99",,"10","15","9","2026-01-31"
"ikarao karaoke machine for adults, with lyrics display built-in 13.3""","86","1","22","1","4.55","1","100.0","1","100.0","531.98","531.98","0","0","0","1","100.0","1","100.0","531.98","531.98","0","0","0","0","0.0","0",,,,"0","0","0","2026-01-31"
