ASIN 或商品=["B0CLLT85Y6"],报告范围=["每月"],选择年份=["2025"],选择月份=["5 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke machine with screen","50","4241","99421","156","0.16","1783","42.04","2","0.11","159.99","566.99","109","510","520","290","6.84","0","0.0","155.99",,"15","90","91","51","1.2","0","0.0","139.92",,"4","19","18","2025-05-31"
"karaoke machines","77","1503","38036","33","0.09","465","30.94","1","0.22","74.99","566.99","30","163","138","98","6.52","0","0.0","64.98",,"10","43","27","20","1.33","0","0.0","69.99",,"4","9","3","2025-05-31"
"ikarao smart karaoke machine for adults with screen lyrics display,2 wireless mics,portable bluetooth speaker for music party","36","4","120","4","3.33","1","25.0","1","100.0","699.99","699.99","0","0","1","1","25.0","1","100.0","699.99","699.99","0","0","1","0","0.0","0",,,,"0","0","0","2025-05-31"
"ikaro break x2","17","25","261","25","9.58","11","44.0","5","45.45","549.99","699.99","1","2","2","2","8.0","2","100.0","699.99","699.99","0","0","0","0","0.0","0",,,,"0","0","0","2025-05-31"
"ikarao break x1","5","227","5355","208","3.88","111","48.9","70","63.06","699.99","699.99","1","22","36","23","10.13","15","65.22","699.99","699.99","0","9","5","5","2.2","4","80.0","566.99","566.99","0","3","1","2025-05-31"
"karaoke machine spotify","95","30","894","12","1.34","17","56.67","1","5.88","129.99","699.99","0","7","2","1","3.33","0","0.0","129.99",,"0","1","0","1","3.33","0","0.0","129.99",,"0","1","0","2025-05-31"
"large karaoke machine","82","216","5483","25","0.46","89","41.2","1","1.12","149.99","699.99","1","39","33","15","6.94","0","0.0","119.99",,"0","9","4","3","1.39","0","0.0","119.99",,"0","2","0","2025-05-31"
"karaoke machine for adults with lyrics display, built in 13.3 screen","75","2","120","2","1.67","2","100.0","2","100.0","699.99","699.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-05-31"
"karokee machine with bluetooth and wireless microphone for adults","32","11371","262091","17","0.01","4803","42.24","1","0.02","72.99","699.99","494","2017","1356","1407","12.37","1","0.07","64.98","699.99","161","582","392","390","3.43","0","0.0","69.99",,"56","200","86","2025-05-31"
"cart ikarao break x1 portable party karaoke machine itemid: breakx1 ikarao break x1 portable party karaoke machine break x1 party karaoke machine","40","1","20","1","5.0","1","100.0","1","100.0","566.99","566.99","0","0","1","1","100.0","1","100.0","566.99","566.99","0","0","1","0","0.0","0",,,,"0","0","0","2025-05-31"
"ikaria karaoke","99","12","245","9","3.67","11","91.67","1","9.09","285.0","699.99","0","1","5","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-05-31"
"jyx","67","249","6887","45","0.65","136","54.62","1","0.74","99.99","699.99","2","34","28","14","5.62","0","0.0","99.99",,"0","8","4","2","0.8","0","0.0","119.99",,"0","1","0","2025-05-31"
"karaoke system","81","3417","84512","25","0.03","984","28.8","1","0.1","239.99","699.99","40","251","227","95","2.78","0","0.0","149.97",,"4","25","27","26","0.76","0","0.0","99.99",,"2","10","5","2025-05-31"
"karaoke machine for adults with lyrics display, built-in 13.3"" screen, truly all in one karaoke machine with 2 wireless microphone (hidden & self charging), 800w bluetooth speaker for party, tv","19","13","363","12","3.31","3","23.08","3","100.0","699.99","699.99","0","0","1","2","15.38","2","100.0","566.99","566.99","0","0","1","0","0.0","0",,,,"0","0","0","2025-05-31"
"ikarao break","53","25","545","23","4.22","15","60.0","4","26.67","349.99","699.99","0","7","4","4","16.0","0","0.0","79.99",,"0","2","1","0","0.0","0",,,,"0","0","0","2025-05-31"
"ikarao karaoke machine x1 pro","73","2","52","2","3.85","2","100.0","2","100.0","699.99","699.99","0","0","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-05-31"
"ikarao karaoke machine 800w","72","2","84","2","2.38","2","100.0","2","100.0","699.99","699.99","0","1","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-05-31"
"break x1 all in 1 party karaoke speaker","12","9","183","4","2.19","1","11.11","1","100.0","699.99","699.99","0","0","1","1","11.11","1","100.0","699.99","699.99","0","0","1","1","11.11","1","100.0","699.99","699.99","0","0","1","2025-05-31"
"all in one karaoke system","54","163","4243","93","2.19","57","34.97","2","3.51","246.48","566.99","1","13","10","8","4.91","0","0.0","99.98",,"0","2","0","2","1.23","0","0.0","64.98",,"0","1","0","2025-05-31"
"ikarao karaoke","25","217","5203","135","2.59","94","43.32","7","7.45","279.99","699.99","2","38","20","17","7.83","0","0.0","269.99",,"0","5","2","3","1.38","0","0.0","285.0",,"0","2","0","2025-05-31"
"ikaroo karaoke machine","74","410","10949","2","0.02","183","44.63","2","1.09","299.99","699.99","8","54","63","48","11.71","0","0.0","299.99",,"2","11","15","12","2.93","0","0.0","349.98",,"0","3","5","2025-05-31"
"ikarao karaoke machine for adults,built-in 13.3-inch screen,portable speaker with 2 wireless mics for tv,music party","44","1","20","1","5.0","1","100.0","1","100.0","566.99","566.99","0","0","1","1","100.0","1","100.0","566.99","566.99","0","0","1","0","0.0","0",,,,"0","0","0","2025-05-31"
"break x1 ikaro","70","4","25","3","12.0","3","75.0","2","66.67","699.99","699.99","0","0","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-05-31"
"ikarao karaoke machine for adults, with lyrics display, ...","71","3","60","3","5.0","2","66.67","2","100.0","566.99","566.99","0","0","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-05-31"
"ikarao break x2 karaoke machine","43","231","5487","1","0.02","111","48.05","1","0.9","359.99","699.99","2","32","27","16","6.93","1","6.25","399.97","699.99","0","5","5","1","0.43","0","0.0","349.98",,"0","1","0","2025-05-31"
"break x1","9","43","1027","38","3.7","24","55.81","14","58.33","599.99","699.99","0","4","7","1","2.33","1","100.0","699.99","699.99","0","1","0","1","2.33","1","100.0","699.99","699.99","0","1","0","2025-05-31"
"karaoke con pantalla integrada","85","26","525","21","4.0","18","69.23","1","5.56","299.99","699.99","0","0","0","1","3.85","0","0.0","299.99",,"0","0","0","0","0.0","0",,,,"0","0","0","2025-05-31"
"karaoke ikarao","51","19","546","16","2.93","13","68.42","5","38.46","349.99","699.99","0","6","2","1","5.26","0","0.0","285.0",,"0","1","0","0","0.0","0",,,,"0","0","0","2025-05-31"
"karaoke tv","86","412","10006","56","0.56","95","23.06","0","0.0","74.99",,"9","37","32","18","4.37","0","0.0","64.98",,"2","6","5","5","1.21","0","0.0","52.99",,"1","3","1","2025-05-31"
"kareoke","79","1901","43351","65","0.15","627","32.98","0","0.0","59.49",,"82","275","150","162","8.52","0","0.0","49.99",,"20","75","37","44","2.31","0","0.0","49.98",,"11","22","7","2025-05-31"
"b0cllt85y6","28","3","6","3","50.0","3","100.0","3","100.0","699.99","699.99","0","0","1","1","33.33","1","100.0","699.99","699.99","0","0","0","0","0.0","0",,,,"0","0","0","2025-05-31"
"karaoke machineikarao break x1","47","1","33","1","3.03","1","100.0","1","100.0","566.99","566.99","0","0","1","1","100.0","1","100.0","566.99","566.99","0","0","1","0","0.0","0",,,,"0","0","0","2025-05-31"
"ikaro speaker","29","8","162","8","4.94","5","62.5","2","40.0","246.48","566.99","0","2","1","1","12.5","1","100.0","566.99","566.99","0","0","1","0","0.0","0",,,,"0","0","0","2025-05-31"
"ikarao s2","56","69","1845","67","3.63","43","62.32","2","4.65","269.99","699.99","3","19","6","7","10.14","0","0.0","269.99",,"0","5","1","3","4.35","0","0.0","299.99",,"0","3","0","2025-05-31"
"ikarao x1 pro karaoke","45","1","20","1","5.0","1","100.0","1","100.0","699.99","699.99","0","0","1","1","100.0","1","100.0","699.99","699.99","0","0","1","0","0.0","0",,,,"0","0","0","2025-05-31"
"rokolas karaoke con pantalla para negocio","100","63","1319","9","0.68","22","34.92","1","4.55","399.99","699.99","0","1","6","1","1.59","0","0.0","379.99",,"0","0","0","0","0.0","0",,,,"0","0","0","2025-05-31"
"ikarao s3","97","48","568","48","8.45","37","77.08","0","0.0","219.99",,"3","16","13","10","20.83","0","0.0","219.99",,"0","4","5","4","8.33","0","0.0","199.99",,"0","2","2","2025-05-31"
"giant 800watt bluetooth speaker","34","4","80","4","5.0","1","25.0","1","100.0","699.99","699.99","0","0","1","1","25.0","1","100.0","699.99","699.99","0","0","1","0","0.0","0",,,,"0","0","0","2025-05-31"
