ASIN 或商品=["B0CLLT85Y6"],报告范围=["每月"],选择年份=["2026"],选择月份=["4 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"ikarao break 1","28","7","148","7","4.73","6","85.71","5","83.33","569.99","599.99","0","4","1","2","28.57","2","100.0","599.99","599.99","0","1","1","0","0.0","0",,,,"0","0","0","2026-04-30"
"karaoke machine with screen","12","5095","128064","1626","1.27","2180","42.79","9","0.41","129.99","569.99","182","809","521","319","6.26","1","0.31","159.98","569.99","27","126","71","47","0.92","0","0.0","159.98",,"5","23","7","2026-04-30"
"smart karaoke machine","36","234","6764","164","2.42","102","43.59","1","0.98","219.99","599.99","5","35","26","15","6.41","1","6.67","215.99","599.99","0","8","4","5","2.14","0","0.0","279.0",,"0","1","2","2026-04-30"
"ikarao 460w","22","1","9","1","11.11","1","100.0","1","100.0","569.99","569.99","0","1","0","1","100.0","1","100.0","569.99","569.99","0","1","0","1","100.0","1","100.0","569.99","569.99","0","1","0","2026-04-30"
"karaoke ikaro","18","31","1693","31","1.83","1","3.23","1","100.0","569.99","569.99","0","0","1","1","3.23","1","100.0","569.99","569.99","0","0","1","1","3.23","1","100.0","569.99","569.99","0","0","1","2026-04-30"
"break x1 karaoke","59","11","243","11","4.53","6","54.55","6","100.0","569.99","569.99","0","1","3","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-30"
"ikarao smart karaoke machine","69","78","2391","68","2.84","24","30.77","3","12.5","349.99","599.99","2","12","4","6","7.69","0","0.0","379.98",,"0","5","1","1","1.28","0","0.0","399.99",,"0","0","1","2026-04-30"
"ikarao karaoke machine break x1","44","10","411","10","2.43","6","60.0","1","16.67","379.98","599.99","1","2","3","4","40.0","1","25.0","349.99","599.99","1","1","2","1","10.0","0","0.0","299.99",,"1","0","0","2026-04-30"
"ikaroa karaoke machine","65","60","1318","45","3.41","17","28.33","4","23.53","299.99","569.99","0","10","5","3","5.0","0","0.0","249.99",,"0","2","1","2","3.33","0","0.0","215.99",,"0","2","0","2026-04-30"
"professional karaoke machine","58","1402","38146","142","0.37","497","35.45","3","0.6","399.99","508.98","11","89","121","76","5.42","0","0.0","299.99",,"3","23","17","5","0.36","0","0.0","53.99",,"2","3","0","2026-04-30"
