ASIN 或商品=["B0CLLT85Y6"],报告范围=["每月"],选择年份=["2025"],选择月份=["9 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"joog speaker","53","80","1583","53","3.35","10","12.5","2","20.0","294.48","599.99","0","3","0","1","1.25","0","0.0","109.95",,"0","1","0","0","0.0","0",,,,"0","0","0","2025-09-30"
"karaoke machine for adults, with lyrics display built-in 13.3"" screen, truly all in one karaoke machine with 2 wireless microphone (hidden & self charging), 460w bluetooth speaker for party, tv","9","6","152","5","3.29","5","83.33","5","100.0","599.99","599.99","0","2","2","3","50.0","3","100.0","599.99","599.99","0","1","1","2","33.33","2","100.0","599.99","599.99","0","1","1","2025-09-30"
"ikarao karaoke machine for adults with lyrics display built in 13.3 screen","18","1","33","1","3.03","1","100.0","1","100.0","599.99","599.99","0","0","1","1","100.0","1","100.0","599.99","599.99","0","0","1","1","100.0","1","100.0","599.99","599.99","0","0","1","2025-09-30"
"ikarao break x1 karaoke machine and luggage bundle","90","8","173","7","4.05","2","25.0","1","50.0","349.98","599.99","0","1","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-09-30"
"rockolas de musica","72","183","3621","40","1.1","51","27.87","1","1.96","589.99","599.99","0","6","4","5","2.73","0","0.0","127.62",,"0","1","0","0","0.0","0",,,,"0","0","0","2025-09-30"
"ikarao break","62","17","449","14","3.12","6","35.29","2","33.33","349.98","599.99","0","1","3","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-09-30"
"karaoke break x1","98","6","115","5","4.35","1","16.67","1","100.0","599.99","599.99","0","1","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2025-09-30"
"ikaroo karaoke","34","4","82","2","2.44","2","50.0","1","50.0","246.47","599.99","0","1","1","2","50.0","1","50.0","246.47","599.99","0","1","1","0","0.0","0",,,,"0","0","0","2025-09-30"
"karaoke","7","42591","1006327","2583","0.26","13430","31.53","14","0.1","59.49","599.99","1580","5618","2280","2831","6.65","0","0.0","53.52",,"436","1279","465","581","1.36","0","0.0","53.52",,"130","308","77","2025-09-30"
"karaoke machine","2","263881","6091676","22399","0.37","104580","39.63","126","0.12","59.49","599.99","13470","48215","20538","27797","10.53","12","0.04","53.52","599.99","4341","13438","5022","6489","2.46","5","0.08","53.52","599.99","1486","3351","971","2025-09-30"
