ASIN 或商品=["B0CLLT85Y6"],报告范围=["每月"],选择年份=["2026"],选择月份=["5 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke machines for adults","49","432","14362","46","0.32","112","25.93","1","0.89","99.99","599.99","6","34","23","33","7.64","1","3.03","77.39","599.99","3","13","8","6","1.39","0","0.0","53.67",,"1","2","3","2026-05-31"
"ikaro break x1","14","23","236","23","9.75","14","60.87","10","71.43","599.99","599.99","0","7","5","4","17.39","3","75.0","599.99","599.99","0","0","2","1","4.35","1","100.0","599.99","599.99","0","0","1","2026-05-31"
"karaoke with lyrics","45","1933","50810","361","0.71","60","3.1","0","0.0","99.99",,"6","27","10","8","0.41","0","0.0","53.99",,"2","5","1","3","0.16","0","0.0","33.99",,"1","2","0","2026-05-31"
"ikarao breakx1","61","2","24","2","8.33","1","50.0","1","100.0","599.99","599.99","0","1","0","1","50.0","1","100.0","599.99","599.99","0","1","0","0","0.0","0",,,,"0","0","0","2026-05-31"
"all-in-one karaoke systems with led lights and lyrics display","86","397","8577","111","1.29","156","39.29","1","0.64","119.99","599.99","12","49","52","38","9.57","0","0.0","99.99",,"3","17","9","6","1.51","0","0.0","53.99",,"1","4","1","2026-05-31"
"geardon karaoke machine","90","185","4335","99","2.28","77","41.62","1","1.3","499.99","587.99","3","17","22","9","4.86","0","0.0","499.99",,"0","0","6","1","0.54","0","0.0","499.99",,"0","0","1","2026-05-31"
"all in one karaoke system","76","196","5525","123","2.23","74","37.76","2","2.7","122.39","564.82","3","18","33","6","3.06","0","0.0","54.99",,"0","0","5","0","0.0","0",,,,"0","0","0","2026-05-31"
"professional karaoke machine","95","1631","43892","88","0.2","442","27.1","1","0.23","364.7","599.99","19","97","115","54","3.31","0","0.0","332.47",,"3","14","9","7","0.43","0","0.0","379.98",,"1","3","2","2026-05-31"
"ikarao break x1","5","394","10484","333","3.18","198","50.25","93","46.97","599.99","599.99","3","59","56","36","9.14","18","50.0","587.99","599.99","0","12","11","11","2.79","8","72.73","599.99","599.99","0","5","3","2026-05-31"
"ikarao karaoke machine for adults,","42","10","198","8","4.04","6","60.0","3","50.0","349.99","599.99","0","3","2","1","10.0","1","100.0","587.99","587.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-05-31"
