ASIN 或商品=["B0CR1R7FKP"],报告范围=["每月"],选择年份=["2025"],选择月份=["4 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"korean karaoke machine","44","605","15117","848","5.61","259","42.81","16","6.18","669.99","449.99","6","30","28","16","2.64","1","6.25","668.92","449.99","0","2","1","3","0.5","0","0.0","942.99",,"0","0","0","2025-04-30"
"smart karaoke machine for adults","20","150","4108","195","4.75","52","34.67","9","17.31","309.99","449.99","4","18","13","11","7.33","4","36.36","349.99","449.99","0","5","4","4","2.67","3","75.0","449.99","449.99","0","2","2","2025-04-30"
"kareokee machine with bluetooth and wireless microphone for adults with screen","65","39","773","48","6.21","21","53.85","3","14.29","239.99","349.99","1","5","10","4","10.26","1","25.0","349.99","349.99","0","1","2","1","2.56","1","100.0","349.99","349.99","0","0","1","2025-04-30"
"smart karaoke machine with lyrics display","53","89","2074","117","5.64","39","43.82","3","7.69","223.2","349.99","3","7","12","14","15.73","2","14.29","223.2","349.99","3","2","3","6","6.74","1","16.67","219.99","349.99","3","1","0","2025-04-30"
"ikarao break x2","33","28","371","36","9.7","21","75.0","18","85.71","449.99","449.99","0","8","9","4","14.29","3","75.0","449.99","449.99","0","2","1","2","7.14","1","50.0","246.48","449.99","0","0","1","2025-04-30"
"karaoke machine for adults with lyrics display","50","1249","32185","1048","3.26","463","37.07","12","2.59","119.98","449.99","35","149","133","88","7.05","0","0.0","119.99",,"8","30","20","12","0.96","0","0.0","64.98",,"1","7","3","2025-04-30"
"ikarao break x1 karaoke machine","21","494","12526","496","3.96","176","35.63","37","21.02","689.99","449.99","6","32","59","30","6.07","4","13.33","689.99","449.99","1","4","9","5","1.01","1","20.0","587.92","349.99","0","1","1","2025-04-30"
"ikarao 64gb smart karaoke machine with lyrics display, break x2","87","5","297","5","1.68","3","60.0","1","33.33","359.99","449.99","0","0","2","3","60.0","1","33.33","359.99","449.99","0","0","2","1","20.0","1","100.0","449.99","449.99","0","0","1","2025-04-30"
"karaoke equipment","57","1418","37191","761","2.05","366","25.81","9","2.46","109.99","449.99","15","136","92","38","2.68","1","2.63","89.99","349.99","4","16","11","6","0.42","0","0.0","53.54",,"0","4","1","2025-04-30"
"ai karaoke machine","83","13","349","18","5.16","5","38.46","1","20.0","349.99","449.99","2","1","1","2","15.38","1","50.0","349.99","449.99","0","1","0","1","7.69","1","100.0","449.99","449.99","0","1","0","2025-04-30"
"jbl karaoke machine","18","2071","42276","1879","4.44","795","38.39","30","3.77","279.95","349.99","26","221","313","107","5.17","1","0.93","279.95","449.99","4","29","37","14","0.68","1","7.14","199.99","449.99","0","6","5","2025-04-30"
"singing machine","42","2203","54557","1075","1.97","709","32.18","7","0.99","72.99","449.99","43","206","187","99","4.49","2","2.02","69.99","349.99","7","29","34","19","0.86","0","0.0","49.99",,"1","6","8","2025-04-30"
"karaoke with screen","47","329","7203","232","3.22","125","37.99","5","4.0","168.89","349.99","11","39","31","21","6.38","2","9.52","169.99","349.99","3","5","7","4","1.22","1","25.0","64.98","349.99","2","0","2","2025-04-30"
