ASIN 或商品=["B0CR1R7FKP"],报告范围=["每月"],选择年份=["2025"],选择月份=["12 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"pro karaoke machine for adults","32","2311","51827","2403","4.64","1185","51.28","99","8.35","129.99","332.49","61","192","273","295","12.77","16","5.42","123.48","332.49","18","64","69","68","2.94","4","5.88","99.99","332.49","8","14","22","2025-12-31"
"karaoke machine with microphone","82","3277","84104","2490","2.96","1187","36.22","16","1.35","53.68","332.49","64","216","302","342","10.44","3","0.88","53.68","349.99","22","71","92","89","2.72","1","1.12","52.99","332.49","9","23","30","2025-12-31"
"professional karaoke systems","93","1459","38969","1561","4.01","576","39.48","29","5.03","459.0","332.49","5","50","68","68","4.66","3","4.41","319.0","332.49","2","11","6","8","0.55","1","12.5","223.99","332.49","0","3","1","2025-12-31"
"karaoke machine jbl","69","3633","75354","3567","4.73","1443","39.72","24","1.66","259.5","349.99","57","236","383","202","5.56","2","0.99","199.95","332.48","19","34","63","56","1.54","1","1.79","139.99","349.99","6","11","19","2025-12-31"
"karaoke machine professional","68","1200","30753","1155","3.76","373","31.08","36","9.65","223.99","332.49","12","40","92","55","4.58","7","12.73","167.99","349.99","3","8","15","13","1.08","2","15.38","129.99","349.99","1","1","5","2025-12-31"
"karaoke machine￼","65","3387","71997","2582","3.59","1355","40.01","19","1.4","59.99","332.49","103","264","290","501","14.79","5","1.0","59.99","332.49","46","91","107","127","3.75","2","1.57","59.99","332.49","15","33","35","2025-12-31"
"kareoke","21","9373","229742","9229","4.02","3302","35.23","66","2.0","59.99","332.49","285","572","723","991","10.57","14","1.41","43.99","332.49","103","209","237","286","3.05","3","1.05","49.98","332.49","30","81","73","2025-12-31"
"karaoke machine for kids","41","326733","7705046","7350","0.1","137128","41.97","35","0.03","26.99","332.49","9390","24984","30318","50009","15.31","4","0.01","24.99","332.49","3900","10106","11428","18371","5.62","1","0.01","25.99","332.49","1630","4143","4447","2025-12-31"
"portable karaoke machine","22","23095","555568","9106","1.64","10021","43.39","69","0.69","29.99","332.49","757","1925","2407","3136","13.58","11","0.35","26.99","332.49","259","691","805","1025","4.44","4","0.39","26.99","332.49","89","273","265","2025-12-31"
"jbl karaoke machine with 2 microphones","17","15278","320451","11221","3.5","6656","43.57","144","2.16","279.95","332.49","216","894","1627","1117","7.31","11","0.98","279.95","332.49","65","171","265","163","1.07","3","1.84","199.95","349.99","18","33","37","2025-12-31"
"high end karaoke system","76","1317","35202","1605","4.56","307","23.31","48","15.64","332.49","332.49","17","40","62","32","2.43","3","9.38","129.99","332.49","6","6","7","7","0.53","1","14.29","129.99","332.49","1","3","2","2025-12-31"
"magic sing karaoke system 2025","50","4250","99533","4531","4.55","1723","40.54","61","3.54","499.0","332.49","44","167","285","198","4.66","4","2.02","449.99","332.49","3","19","41","36","0.85","0","0.0","449.99",,"0","1","11","2025-12-31"
"ikarao karaoke","37","815","23217","990","4.26","347","42.58","76","21.9","279.98","332.49","9","34","102","53","6.5","14","26.42","279.98","349.99","0","5","9","18","2.21","6","33.33","279.98","349.99","0","2","6","2025-12-31"
"portable karaoke system","56","1544","39764","1326","3.33","574","37.18","39","6.79","69.99","349.99","31","97","127","165","10.69","9","5.45","59.99","332.49","10","35","35","54","3.5","3","5.56","59.99","332.49","5","16","15","2025-12-31"
"￼karaoke machine","81","3412","72776","2050","2.82","1319","38.66","21","1.59","59.99","349.99","74","238","239","483","14.16","4","0.83","54.99","349.99","25","108","88","137","4.02","1","0.73","59.99","332.49","11","34","28","2025-12-31"
"karaoke mixer","91","11998","333057","3474","1.04","5746","47.89","11","0.19","84.99","332.49","182","903","1454","496","4.13","1","0.2","79.99","332.49","20","103","130","122","1.02","0","0.0","78.99",,"5","37","35","2025-12-31"
"karaoke machine with lyrics display","5","35442","904522","32958","3.64","14863","41.94","442","2.97","89.99","332.49","760","2123","3237","2966","8.37","78","2.63","78.95","332.49","195","449","662","750","2.12","21","2.8","72.99","332.49","65","131","182","2025-12-31"
"jbl partybox","14","183439","3696179","18925","0.51","73075","39.84","73","0.1","349.95","332.49","411","7851","16278","9279","5.06","7","0.08","299.95","332.49","96","1264","2365","1558","0.85","0","0.0","299.95",,"29","286","468","2025-12-31"
"magic sing","63","5800","144111","5110","3.55","2230","38.45","26","1.17","499.0","332.49","49","234","420","207","3.57","1","0.48","499.0","349.99","6","23","41","39","0.67","0","0.0","449.99",,"2","7","12","2025-12-31"
"karaoke speaker","23","25005","595840","9061","1.52","8249","32.99","87","1.05","99.99","332.49","372","1226","1803","1360","5.44","11","0.81","69.99","332.49","96","252","303","331","1.32","2","0.6","62.99","332.49","29","87","79","2025-12-31"
"amazon karaoke machine","59","2514","73868","2871","3.89","806","32.06","22","2.73","63.99","332.49","40","121","206","130","5.17","4","3.08","59.99","332.49","14","25","25","60","2.39","3","5.0","62.99","349.99","11","16","11","2025-12-31"
"ikarao break x1","45","1184","30211","1431","4.74","511","43.16","81","15.85","531.99","332.49","6","75","125","89","7.52","9","10.11","531.99","332.49","2","18","28","40","3.38","4","10.0","531.99","332.49","1","8","17","2025-12-31"
"karaoke system for home","75","2016","53242","1728","3.25","662","32.84","26","3.93","128.99","332.49","21","79","112","71","3.52","4","5.63","89.95","332.49","6","16","15","13","0.64","2","15.38","99.99","332.49","3","4","2","2025-12-31"
"karoke","46","5909","151739","5412","3.57","2072","35.07","37","1.79","49.99","332.49","175","394","509","680","11.51","5","0.74","33.99","349.99","55","142","181","210","3.55","2","0.95","30.99","349.99","19","62","47","2025-12-31"
"karaoke machine for adults for tv","84","1406","37366","1308","3.5","498","35.42","19","3.82","101.96","332.49","44","76","124","88","6.26","4","4.55","79.99","332.49","5","12","23","28","1.99","2","7.14","75.99","332.49","3","5","5","2025-12-31"
"best karaoke machine for smart tv","98","598","20190","783","3.88","241","40.3","21","8.71","129.99","332.49","11","35","58","36","6.02","4","11.11","108.77","332.49","1","6","7","8","1.34","2","25.0","129.99","332.49","1","2","3","2025-12-31"
"ikarao smart karaoke machine for adults - with lyrics display, 32gb karaoke tablet, 2 wireless mics, professional karaoke system, 300w peak power, 4 dj lights, karaoke speaker for any occasion","36","92","2093","114","5.45","51","55.43","36","70.59","332.49","332.49","0","11","12","20","21.74","17","85.0","332.49","332.49","0","4","5","10","10.87","9","90.0","349.98","349.98","0","2","4","2025-12-31"
