ASIN 或商品=["B0CR1R7FKP"],报告范围=["每月"],选择年份=["2026"],选择月份=["1 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"jbl speaker","16","287015","5943791","7405","0.12","93562","32.6","22","0.02","99.95","349.99","10159","25036","18312","14457","5.04","1","0.01","89.95","349.99","2196","4236","2684","2892","1.01","0","0.0","89.95",,"744","1061","461","2026-01-31"
"karaoke machine adults","53","1559","59822","1091","1.82","412","26.43","15","3.64","75.99","332.48","57","119","102","100","6.41","5","5.0","69.98","332.48","15","36","20","20","1.28","0","0.0","59.99",,"7","10","1","2026-01-31"
"karoke","38","1847","53420","1741","3.26","554","29.99","14","2.53","53.68","349.99","65","167","138","157","8.5","2","1.27","33.99","332.48","23","54","32","43","2.33","2","4.65","34.99","332.48","10","15","9","2026-01-31"
"karaoke machine with screen","9","6254","156090","6040","3.87","2454","39.24","86","3.5","139.99","349.99","128","567","616","408","6.52","19","4.66","159.97","332.48","21","106","107","59","0.94","6","10.17","103.49","332.48","3","22","18","2026-01-31"
"portable karaoke machine","29","6232","150957","2854","1.89","2322","37.26","46","1.98","53.68","349.99","304","690","487","569","9.13","3","0.53","39.98","349.99","93","185","115","152","2.44","0","0.0","33.99",,"31","57","29","2026-01-31"
"karaoke con canciones en español","43","2797","107180","2893","2.7","48","1.72","15","31.25","282561.22","1274313.63","0","0","2","1","0.04","0","0.0","330533.28",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-01-31"
"ikarao break x2","7","543","14373","709","4.93","248","45.67","164","66.13","332.48","349.99","7","41","81","42","7.73","32","76.19","332.48","349.99","0","10","14","15","2.76","14","93.33","332.48","332.48","0","3","5","2026-01-31"
"top 10 karaoke machines","90","703","17257","901","5.22","197","28.02","12","6.09","99.99","349.99","13","59","42","23","3.27","2","8.7","119.99","332.48","2","8","6","2","0.28","0","0.0","19.73",,"0","1","1","2026-01-31"
"magic sing karaoke system 2025","59","1987","47620","1792","3.76","786","39.56","19","2.42","499.0","332.48","16","108","157","91","4.58","1","1.1","499.0","349.99","2","17","19","8","0.4","0","0.0","504.0",,"0","1","2","2026-01-31"
"kareokee machine with bluetooth and wireless microphone for adults","10","8426","203699","6373","3.13","2988","35.46","110","3.68","60.41","349.99","255","862","665","807","9.58","23","2.85","56.99","349.99","84","251","176","190","2.25","2","1.05","55.47","349.99","24","78","35","2026-01-31"
"karaoke mixer","70","7659","214095","2234","1.04","3687","48.14","4","0.11","89.99","332.48","112","933","924","295","3.85","0","0.0","89.99",,"11","82","74","69","0.9","0","0.0","79.99",,"4","25","23","2026-01-31"
"ikarao smart karaoke machine for adults - with lyrics display, 32gb karaoke tablet, 2 wireless mics, professional karaoke system, 300w peak power, 4 dj lights, karaoke speaker for any occasion","24","39","969","58","5.99","20","51.28","15","75.0","332.48","332.48","0","3","8","9","23.08","9","100.0","332.48","332.48","0","1","4","5","12.82","5","100.0","332.48","332.48","0","1","2","2026-01-31"
"pro karaoke machine for adults","87","424","10639","428","4.02","155","36.56","15","9.68","129.99","332.48","10","34","41","19","4.48","1","5.26","79.99","349.99","3","5","5","5","1.18","1","20.0","99.99","349.99","1","3","1","2026-01-31"
