ASIN 或商品=["B0CR1R7FKP"],报告范围=["每月"],选择年份=["2025"],选择月份=["6 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke professional machine","99","9","186","11","5.91","4","44.44","1","25.0","229.99","379.99","0","0","0","1","11.11","1","100.0","379.99","379.99","0","0","0","1","11.11","1","100.0","379.99","379.99","0","0","0","2025-06-30"
"ikaro","54","82","1759","67","3.81","29","35.37","10","34.48","299.99","379.99","4","6","11","3","3.66","1","33.33","299.99","379.99","0","1","1","1","1.22","1","100.0","379.99","379.99","0","1","0","2025-06-30"
"adult karaoke machine with 2 microphones","44","309","7160","281","3.92","163","52.75","6","3.68","89.99","379.99","8","59","52","47","15.21","2","4.26","89.99","379.99","4","18","16","14","4.53","1","7.14","74.99","379.99","2","5","6","2025-06-30"
"kareoke machine","38","1353","35514","1303","3.67","559","41.32","12","2.15","59.49","379.99","78","276","122","176","13.01","1","0.57","59.49","379.99","23","85","41","45","3.33","0","0.0","59.49",,"9","21","10","2025-06-30"
"karaoke machine for adults voice enhancement","96","17","572","17","2.97","7","41.18","1","14.29","74.99","379.99","2","3","0","2","11.76","1","50.0","74.99","379.99","1","0","0","1","5.88","1","100.0","379.99","379.99","0","0","0","2025-06-30"
"wireless microphone karaoke machine","65","281","6564","167","2.54","77","27.4","3","3.9","74.99","379.99","3","28","25","20","7.12","1","5.0","59.49","379.99","1","7","6","4","1.42","1","25.0","32.19","379.99","0","2","1","2025-06-30"
"karaoke equipment","40","1366","34148","896","2.62","347","25.4","14","4.03","149.99","379.99","17","84","85","44","3.22","2","4.55","99.99","379.99","3","13","9","3","0.22","0","0.0","69.99",,"0","1","2","2025-06-30"
"karaoke machine for adults","2","78048","1757223","72672","4.14","31812","40.76","1108","3.48","74.99","379.99","3657","14013","7983","7960","10.2","152","1.91","64.98","379.99","1094","3819","1849","1968","2.52","39","1.98","59.99","379.99","360","1016","428","2025-06-30"
"best selling karaoke machine for adults","86","44","970","41","4.23","14","31.82","1","7.14","116.99","379.99","0","2","4","3","6.82","1","33.33","199.99","379.99","0","0","2","1","2.27","1","100.0","379.99","379.99","0","0","1","2025-06-30"
"ikarao break x2","13","242","6084","358","5.88","135","55.79","85","62.96","379.99","379.99","5","34","61","27","11.16","19","70.37","379.99","379.99","1","8","12","4","1.65","3","75.0","379.99","379.99","0","2","1","2025-06-30"
