ASIN 或商品=["B0CR1R7FKP"],报告范围=["每月"],选择年份=["2025"],选择月份=["11 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"mini karaoke machine with 2 wireless microphones","67","27863","680463","4074","0.6","14230","51.07","13","0.09","20.99","349.97","2074","5931","3078","6578","23.61","3","0.05","20.99","349.97","1000","2814","1353","1956","7.02","0","0.0","20.99",,"309","834","399","2025-11-30"
"magic sing karaoke","92","2498","58908","3046","5.17","903","36.15","18","1.99","455.99","349.97","20","151","259","81","3.24","0","0.0","459.0",,"1","12","30","10","0.4","0","0.0","191.0",,"0","0","3","2025-11-30"
"smart karaoke machine for adults","96","312","7748","449","5.8","129","41.35","18","13.95","159.99","332.49","5","31","23","31","9.94","4","12.9","151.99","332.49","0","11","2","6","1.92","2","33.33","332.49","332.49","0","1","0","2025-11-30"
"ikarao break x1 karaoke machine","62","370","10353","457","4.41","135","36.49","37","27.41","339.99","332.49","5","33","45","22","5.95","6","27.27","332.49","332.49","2","5","9","5","1.35","3","60.0","332.49","332.49","0","2","2","2025-11-30"
"ikarao karaoke machine","3","10099","253180","17215","6.8","4792","47.45","1490","31.09","265.98","332.49","321","1174","1463","937","9.28","302","32.23","265.98","332.49","72","268","295","311","3.08","107","34.41","265.98","332.49","23","103","105","2025-11-30"
"professional karaoke machine for adults","63","1716","45563","1954","4.29","526","30.65","41","7.79","237.99","332.49","26","97","130","82","4.78","5","6.1","191.99","332.49","9","15","13","10","0.58","1","10.0","129.99","349.97","3","2","1","2025-11-30"
"jbl karaoke","41","10084","203152","4800","2.36","4235","42.0","58","1.37","259.95","349.97","138","945","1269","605","6.0","6","0.99","259.95","332.49","30","151","194","69","0.68","0","0.0","239.95",,"4","21","22","2025-11-30"
"best karaoke machine","35","1650","44258","2100","4.74","547","33.15","49","8.96","99.99","332.49","65","153","127","105","6.36","10","9.52","99.99","332.49","16","37","22","31","1.88","4","12.9","76.99","332.49","4","12","6","2025-11-30"
"ikarao x2","24","201","5006","278","5.55","114","56.72","71","62.28","332.49","349.97","5","38","28","29","14.43","22","75.86","332.49","332.49","4","5","12","9","4.48","7","77.78","332.49","349.97","1","2","4","2025-11-30"
"portable karaoke system","70","1052","23775","1161","4.88","420","39.92","29","6.9","56.51","332.49","65","81","94","112","10.65","5","4.46","53.68","332.49","26","25","25","33","3.14","2","6.06","49.99","332.49","9","8","7","2025-11-30"
"karaoke with lyrics","60","3110","112838","4993","4.42","228","7.33","12","5.26","74.99","332.49","13","71","64","30","0.96","1","3.33","59.96","332.49","3","8","7","2","0.06","0","0.0","56.51",,"0","1","0","2025-11-30"
"karaoke machine with screen","9","16349","380669","16193","4.25","6454","39.48","219","3.39","108.28","332.49","351","1524","1778","1010","6.18","39","3.86","129.99","332.49","64","243","294","156","0.95","10","6.41","79.0","332.49","10","44","53","2025-11-30"
"karaoke machine￼","57","4059","87408","4189","4.79","1599","39.39","30","1.88","53.68","349.97","188","535","386","554","13.65","3","0.54","53.68","349.97","94","174","132","87","2.14","0","0.0","53.68",,"22","26","20","2025-11-30"
"karaoke machine for families","93","1294","27096","1690","6.24","436","33.69","12","2.75","61.71","332.49","46","129","114","89","6.88","3","3.37","57.66","332.49","13","33","18","15","1.16","1","6.67","53.68","332.49","3","3","3","2025-11-30"
"portable karaoke machine with 2 wireless microphones","61","4396","110247","1913","1.74","2027","46.11","12","0.59","24.99","349.97","333","897","402","760","17.29","4","0.53","24.99","349.97","150","345","141","174","3.96","3","1.72","24.99","349.97","42","79","25","2025-11-30"
"karaoke machine for tv","15","10507","260526","10508","4.03","3819","36.35","91","2.38","99.99","332.49","346","1097","1082","624","5.94","16","2.56","85.19","332.49","76","206","160","115","1.09","6","5.22","85.19","332.49","18","43","29","2025-11-30"
"kareokee machine with bluetooth and wireless microphone for adults","10","20375","454386","16772","3.69","8032","39.42","202","2.51","59.99","332.49","920","2394","2039","2225","10.92","32","1.44","53.68","332.49","322","720","560","507","2.49","9","1.78","53.68","332.49","102","176","107","2025-11-30"
"amazon karaoke machine","82","1748","49859","2372","4.76","571","32.67","23","4.03","57.59","349.97","29","207","156","82","4.69","1","1.22","56.51","349.97","8","36","15","25","1.43","1","4.0","56.51","349.97","3","10","2","2025-11-30"
"ktv","80","2138","40236","1649","4.1","518","24.23","21","4.05","159.98","332.49","32","82","66","33","1.54","2","6.06","157.49","332.49","5","8","5","9","0.42","2","22.22","61.71","332.49","2","2","4","2025-11-30"
"highest rated karaoke machine","79","1141","30004","1578","5.26","420","36.81","35","8.33","99.99","332.49","30","136","125","56","4.91","3","5.36","76.99","332.49","5","24","13","17","1.49","1","5.88","76.99","332.47","1","7","3","2025-11-30"
"karaoke machine with microphone","86","2162","56140","2033","3.62","762","35.25","12","1.57","53.68","349.97","58","237","216","221","10.22","3","1.36","53.68","359.99","24","70","72","39","1.8","1","2.56","45.99","359.99","6","13","10","2025-11-30"
"bluetooth karaoke machine","68","4942","118627","2438","2.06","1979","40.04","25","1.26","53.68","349.97","195","680","523","576","11.66","4","0.69","45.02","332.49","72","192","159","127","2.57","1","0.79","53.68","349.97","20","45","29","2025-11-30"
"karokee machine with bluetooth and wireless microphone for adults","7","32227","794296","28429","3.58","12878","39.96","285","2.21","56.51","332.49","1526","4188","3323","3796","11.78","52","1.37","53.86","332.49","548","1301","944","907","2.81","15","1.65","53.68","349.97","161","342","195","2025-11-30"
"ikaro","87","224","4293","317","7.38","94","41.96","18","19.15","265.97","332.49","5","18","34","18","8.04","6","33.33","265.98","332.49","1","3","8","7","3.13","2","28.57","265.98","332.49","0","1","2","2025-11-30"
"mini karaoke machine","26","98805","2379619","10147","0.43","45714","46.27","33","0.07","19.99","349.97","5858","16964","10407","18828","19.06","4","0.02","19.99","332.49","2545","7254","4388","5175","5.24","0","0.0","19.84",,"753","2024","1209","2025-11-30"
