ASIN 或商品=["B0CR1R7FKP"],报告范围=["每月"],选择年份=["2025"],选择月份=["5 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"ikarao break x1 karaoke machine","36","341","8390","199","2.37","166","48.68","13","7.83","566.99","399.97","8","39","59","34","9.97","5","14.71","566.99","399.97","1","9","11","13","3.81","1","7.69","566.99","449.99","1","4","4","2025-05-31"
"rhm karaoke machine","55","545","11736","467","3.98","246","45.14","5","2.03","299.99","399.97","1","47","124","34","6.24","1","2.94","299.99","399.97","1","4","21","7","1.28","1","14.29","299.99","399.97","0","2","3","2025-05-31"
"karaoke machine connect to tv","37","965","24723","857","3.47","376","38.96","12","3.19","89.99","399.97","34","166","100","48","4.97","2","4.17","74.99","349.98","8","22","10","22","2.28","1","4.55","89.99","349.98","6","10","3","2025-05-31"
"karaoke machine for family","79","95","2220","89","4.01","36","37.89","2","5.56","59.99","349.98","2","12","11","10","10.53","1","10.0","59.99","349.98","0","5","3","1","1.05","1","100.0","349.98","349.98","0","0","0","2025-05-31"
"professional karaoke machine for adults","21","1475","36756","1391","3.78","473","32.07","49","10.36","239.99","399.99","35","128","145","92","6.24","4","4.35","139.99","399.97","11","37","23","10","0.68","0","0.0","75.99",,"2","5","2","2025-05-31"
"karaoke machine built in display","92","9","182","14","7.69","6","66.67","2","33.33","279.23","349.98","1","4","1","2","22.22","1","50.0","246.48","349.98","0","2","0","2","22.22","1","50.0","246.48","349.98","0","2","0","2025-05-31"
"karaoke machine with screen lyrics display","25","634","15344","554","3.61","297","46.85","21","7.07","129.99","379.99","28","106","79","45","7.1","6","13.33","197.49","379.99","2","13","14","10","1.58","1","10.0","219.99","349.98","0","3","4","2025-05-31"
"ikarao karaoke machine","10","1540","36906","945","2.56","700","45.45","87","12.43","299.99","379.99","40","190","241","139","9.03","16","11.51","299.99","399.97","10","36","50","20","1.3","3","15.0","285.0","399.99","2","3","8","2025-05-31"
"best self karaoke with youtube karaoke","100","12","241","11","4.56","10","83.33","1","10.0","246.48","349.98","0","0","0","2","16.67","1","50.0","236.99","349.98","0","0","0","1","8.33","1","100.0","349.98","349.98","0","0","0","2025-05-31"
"i karaoke","83","20","433","28","6.47","7","35.0","3","42.86","377.99","377.99","0","3","2","1","5.0","1","100.0","377.99","377.99","0","1","0","1","5.0","1","100.0","377.99","377.99","0","1","0","2025-05-31"
"ikarao","7","2493","63027","1781","2.83","1365","54.75","187","13.7","299.99","379.99","81","396","461","165","6.62","25","15.15","299.99","349.98","4","60","64","36","1.44","9","25.0","349.98","349.98","1","13","16","2025-05-31"
"ikarao smart karaoke machine","42","164","4221","217","5.14","71","43.29","15","21.13","285.0","399.97","7","22","15","13","7.93","3","23.08","299.99","377.99","1","3","5","3","1.83","1","33.33","349.99","377.99","0","1","0","2025-05-31"
"dj karaoke machine package professional","95","28","654","33","5.05","17","60.71","1","5.88","549.7","449.99","0","0","1","4","14.29","1","25.0","549.99","449.99","0","0","0","1","3.57","1","100.0","449.99","449.99","0","0","0","2025-05-31"
"smart karaoke machine","43","354","9104","433","4.76","231","65.25","21","9.09","189.88","379.99","10","28","34","21","5.93","1","4.76","129.99","379.99","2","8","3","2","0.56","1","50.0","199.88","379.99","0","0","2","2025-05-31"
"karaoke machine for tv","28","3432","84061","2572","3.06","1202","35.02","17","1.41","74.99","399.97","98","495","348","223","6.5","0","0.0","73.99",,"21","101","60","58","1.69","0","0.0","73.99",,"8","26","16","2025-05-31"
"karaoke machine with alexa","86","43","868","49","5.65","14","32.56","2","14.29","72.99","349.98","1","7","5","2","4.65","1","50.0","31.99","349.98","0","1","1","2","4.65","1","50.0","35.99","349.98","0","1","1","2025-05-31"
"home karaoke machines","73","743","15513","692","4.46","349","46.97","13","3.72","99.99","399.97","22","116","120","58","7.81","0","0.0","99.99",,"5","19","22","14","1.88","0","0.0","74.99",,"1","6","6","2025-05-31"
"karoke","69","1203","30468","819","2.69","413","34.33","4","0.97","49.49","377.99","44","182","104","132","10.97","1","0.76","49.49","377.99","15","65","31","31","2.58","0","0.0","49.49",,"5","19","5","2025-05-31"
"b0cr1r7fkp","93","15","166","11","6.63","2","13.33","2","100.0","377.99","377.99","0","1","1","1","6.67","1","100.0","377.99","377.99","0","0","1","1","6.67","1","100.0","377.99","377.99","0","0","1","2025-05-31"
"karaoke machine with display screen","71","102","2588","111","4.29","59","57.84","3","5.08","149.99","399.97","4","10","22","18","17.65","1","5.56","259.99","399.99","1","2","7","3","2.94","1","33.33","312.99","399.99","0","1","1","2025-05-31"
"home karaoke machine|for 45-54 age group | for 55-64 age group | for 65+ age group","84","42","770","20","2.6","9","21.43","3","33.33","349.98","399.96","1","0","4","1","2.38","1","100.0","449.99","449.99","0","0","1","1","2.38","1","100.0","449.99","449.99","0","0","1","2025-05-31"
"karaoke machine with lyrics display","4","11237","272170","10746","3.95","4974","44.26","219","4.4","99.99","379.99","306","1819","1504","919","8.18","41","4.46","79.99","379.99","70","354","284","176","1.57","10","5.68","74.99","377.99","24","80","49","2025-05-31"
"portable karaoke systems","80","841","17674","555","3.14","422","50.18","15","3.55","99.98","399.97","39","154","137","81","9.63","0","0.0","80.99",,"10","31","19","12","1.43","0","0.0","59.99",,"3","5","2","2025-05-31"
"karaoke machine with autotune","45","964","23624","1020","4.32","491","50.93","22","4.48","109.99","349.98","35","209","123","61","6.33","1","1.64","74.99","349.98","6","26","16","8","0.83","0","0.0","99.98",,"0","6","2","2025-05-31"
"jbl karaoke machine","26","2715","55703","2493","4.48","1156","42.58","21","1.82","299.95","399.97","35","365","427","141","5.19","1","0.71","249.99","449.99","6","47","49","20","0.74","0","0.0","249.99",,"0","9","7","2025-05-31"
"smart karaoke machine with lyrics display","72","87","1800","107","5.94","44","50.57","3","6.82","219.99","399.97","2","15","12","11","12.64","1","9.09","129.99","379.99","0","5","3","3","3.45","1","33.33","309.99","379.99","0","1","2","2025-05-31"
"ikarao smart karaoke machine for adults","3","3718","83286","2988","3.59","1838","49.44","334","18.17","299.99","399.97","74","598","611","384","10.33","65","16.93","299.99","399.96","21","132","124","45","1.21","16","35.56","349.98","379.99","2","18","14","2025-05-31"
"kareoke machine","24","1302","34948","1218","3.49","576","44.24","17","2.95","64.98","399.97","70","250","143","173","13.29","5","2.89","59.99","399.99","22","76","48","56","4.3","1","1.79","59.99","399.97","6","27","16","2025-05-31"
"ikarao break 2","70","11","194","19","9.79","8","72.73","6","75.0","359.99","379.99","0","2","1","1","9.09","1","100.0","449.99","449.99","0","0","0","1","9.09","1","100.0","449.99","449.99","0","0","0","2025-05-31"
"portable karaoke machine","22","6439","147150","2233","1.52","2541","39.46","24","0.94","47.99","379.99","326","1118","690","662","10.28","4","0.6","34.19","349.98","100","272","195","166","2.58","0","0.0","29.99",,"33","70","45","2025-05-31"
"karoke machine","16","1387","38610","1306","3.38","692","49.89","20","2.89","64.98","379.99","68","249","205","209","15.07","5","2.39","52.99","377.99","30","81","65","44","3.17","3","6.82","49.99","349.98","7","19","15","2025-05-31"
"tv karaoke system","61","544","13931","352","2.53","171","31.43","4","2.34","89.99","399.99","8","77","52","18","3.31","1","5.56","59.49","399.97","1","11","4","6","1.1","1","16.67","80.99","399.97","0","3","2","2025-05-31"
"karaoke machine with lyrics display screen","87","50","1229","44","3.58","29","58.0","2","6.9","74.99","377.99","1","9","7","5","10.0","1","20.0","74.99","377.99","0","4","0","2","4.0","1","50.0","74.99","377.99","0","1","0","2025-05-31"
"ikarao break x2 karaoke","48","54","1078","57","5.29","28","51.85","14","50.0","349.98","399.97","0","8","11","5","9.26","5","100.0","399.97","399.97","0","3","2","0","0.0","0",,,,"0","0","0","2025-05-31"
"karaoke machine dual mic","54","340","6673","262","3.93","142","41.76","5","3.52","89.95","399.99","6","45","35","27","7.94","2","7.41","69.99","349.98","1","11","9","8","2.35","1","12.5","64.98","449.99","0","3","4","2025-05-31"
"karaoke machines","14","1503","38036","1237","3.25","465","30.94","26","5.59","74.99","399.97","30","163","138","98","6.52","5","5.1","64.98","399.99","10","43","27","20","1.33","3","15.0","69.99","379.99","4","9","3","2025-05-31"
"magic sing","49","2622","69337","1807","2.61","852","32.49","1","0.12","479.55","399.97","29","227","261","70","2.67","0","0.0","478.85",,"3","23","23","7","0.27","0","0.0","478.85",,"1","1","3","2025-05-31"
"karaoke machine￼","51","1419","29573","1197","4.05","553","38.97","9","1.63","59.99","399.97","50","227","186","178","12.54","1","0.56","52.99","399.97","21","78","53","30","2.11","0","0.0","59.99",,"9","11","7","2025-05-31"
"karaoke machine for adults","2","91582","2055022","87232","4.24","36404","39.75","1424","3.91","74.99","399.97","3337","14241","10585","9080","9.91","182","2.0","72.99","399.97","1039","3821","2535","2218","2.42","47","2.12","72.99","399.97","350","1057","512","2025-05-31"
"singing machine karaoke","31","3789","83544","2361","2.83","1195","31.54","9","0.75","91.0","349.98","68","317","304","192","5.07","1","0.52","79.99","349.98","19","54","55","38","1.0","0","0.0","72.99",,"7","17","8","2025-05-31"
"dj","19","72556","1527344","3720","0.24","9683","13.35","18","0.19","129.99","379.99","411","2722","2369","1714","2.36","1","0.06","129.0","349.98","97","526","417","160","0.22","0","0.0","39.99",,"13","45","26","2025-05-31"
"karaoke machine professional","27","580","13246","512","3.87","178","30.69","15","8.43","246.99","399.99","6","40","52","26","4.48","4","15.38","189.99","349.98","0","10","8","4","0.69","2","50.0","349.98","349.98","0","2","2","2025-05-31"
"karaoke machine with 2 microphones","98","1395","34832","644","1.85","435","31.18","3","0.69","72.99","449.99","44","166","144","123","8.82","1","0.81","64.98","449.99","15","54","41","36","2.58","0","0.0","64.98",,"7","15","8","2025-05-31"
"bluetooth karaoke machine","62","1839","43323","825","1.9","751","40.84","8","1.07","59.49","349.98","60","332","196","234","12.72","1","0.43","50.86","399.99","17","107","58","53","2.88","0","0.0","72.99",,"3","25","18","2025-05-31"
"karaoke machine for adults with screen","68","507","11640","502","4.31","195","38.46","13","6.67","142.28","379.99","9","57","67","23","4.54","1","4.35","197.49","449.99","2","7","10","1","0.2","0","0.0","116.99",,"0","1","0","2025-05-31"
"sony karaoke machine","58","276","7354","268","3.64","87","31.52","7","8.05","448.0","379.99","1","16","37","11","3.99","1","9.09","242.99","379.99","0","2","7","4","1.45","1","25.0","242.99","379.99","0","0","4","2025-05-31"
"best karaoke system for smart tv","65","141","4230","119","2.81","60","42.55","6","10.0","129.99","349.98","8","21","19","7","4.96","1","14.29","116.99","399.99","1","1","3","2","1.42","1","50.0","64.98","399.99","0","0","2","2025-05-31"
"wireless karaoke machine","90","749","19272","437","2.27","223","29.77","3","1.35","69.99","349.98","19","98","49","68","9.08","2","2.94","69.99","349.98","10","32","17","20","2.67","0","0.0","69.99",,"3","13","3","2025-05-31"
"karaoke with lyrics display","81","519","11702","439","3.75","261","50.29","11","4.21","129.99","399.97","18","89","75","47","9.06","1","2.13","199.99","449.99","2","15","17","5","0.96","0","0.0","129.99",,"0","3","1","2025-05-31"
"gemini karaoke","96","52","1145","27","2.36","17","32.69","1","5.88","299.95","449.99","0","7","4","2","3.85","1","50.0","349.99","449.99","0","1","1","1","1.92","1","100.0","449.99","449.99","0","0","1","2025-05-31"
"ikarao break x2 karaoke machine","15","231","5487","236","4.3","111","48.05","56","50.45","359.99","399.99","2","32","27","16","6.93","10","62.5","399.97","449.99","0","5","5","1","0.43","1","100.0","349.98","349.98","0","1","0","2025-05-31"
"karaoke machine best","74","43","1493","50","3.35","12","27.91","4","33.33","239.99","399.99","1","1","7","2","4.65","1","50.0","59.99","399.99","0","1","1","1","2.33","1","100.0","399.99","399.99","0","0","1","2025-05-31"
"jbl karaoke machine with 2 microphones","9","7287","150833","4826","3.2","3025","41.51","74","2.45","299.95","379.99","173","897","1058","437","6.0","9","2.06","249.99","379.99","42","151","133","77","1.06","3","3.9","169.99","349.98","10","36","24","2025-05-31"
"karaoke machine with microphone jbl","97","11","223","16","7.17","13","118.18","1","7.69","299.95","399.97","1","4","3","8","72.73","1","12.5","249.95","399.97","1","4","2","3","27.27","1","33.33","89.95","399.97","1","2","0","2025-05-31"
"ikarao karaoke","52","217","5203","200","3.84","94","43.32","10","10.64","279.99","399.97","2","38","20","17","7.83","2","11.76","269.99","399.97","0","5","2","3","1.38","1","33.33","285.0","449.99","0","2","0","2025-05-31"
"maquina para karaoke","44","31","907","31","3.42","14","45.16","4","28.57","129.99","349.98","2","3","2","3","9.68","2","66.67","349.98","349.98","0","1","0","3","9.68","2","66.67","349.98","349.98","0","1","0","2025-05-31"
"karafun karaoke machine","32","350","8832","431","4.88","120","34.29","20","16.67","246.47","399.97","11","45","37","23","6.57","4","17.39","246.48","349.98","3","6","11","6","1.71","1","16.67","246.48","349.98","1","2","2","2025-05-31"
"korean karaoke machine","88","618","17718","555","3.13","209","33.82","14","6.7","668.92","379.99","8","24","24","16","2.59","0","0.0","668.92",,"3","2","1","5","0.81","0","0.0","669.99",,"0","0","0","2025-05-31"
"videoke karaoke machine filipino","76","687","15549","650","4.18","209","30.42","13","6.22","122.55","399.97","13","73","60","29","4.22","0","0.0","89.99",,"2","10","11","2","0.29","0","0.0","27.49",,"0","1","1","2025-05-31"
"karoke machine with bluetooth and wireless microphone for adults","89","1391","35690","695","1.95","575","41.34","10","1.74","72.99","349.98","54","252","163","181","13.01","0","0.0","59.99",,"15","95","48","35","2.52","0","0.0","72.99",,"3","20","10","2025-05-31"
"bose karaoke system","77","871","20725","902","4.35","331","38.0","6","1.81","798.95","349.98","4","87","108","24","2.76","0","0.0","798.95",,"1","8","6","1","0.11","0","0.0","179.99",,"0","1","0","2025-05-31"
"hdmi karaoke machine","59","274","7779","247","3.18","117","42.7","7","5.98","99.99","399.97","5","45","38","11","4.01","1","9.09","99.99","449.99","1","3","5","4","1.46","1","25.0","96.69","449.99","1","0","3","2025-05-31"
"magic sing karaoke system 2025","53","2639","57543","1268","2.2","1040","39.41","5","0.48","479.55","399.97","30","271","324","121","4.59","1","0.83","478.85","349.98","2","41","43","18","0.68","0","0.0","479.55",,"0","7","10","2025-05-31"
"karaoke system","23","3417","84512","2333","2.76","984","28.8","36","3.66","239.99","349.98","40","251","227","95","2.78","1","1.05","149.97","349.98","4","25","27","26","0.76","0","0.0","99.99",,"2","10","5","2025-05-31"
"karaoke speaker","30","11143","268041","1988","0.74","3483","31.26","20","0.57","99.99","379.99","194","1117","1045","515","4.62","1","0.19","72.99","349.96","41","197","159","100","0.9","0","0.0","73.99",,"9","43","27","2025-05-31"
"professional karaoke machine","17","2129","49203","1982","4.03","804","37.76","64","7.96","246.48","379.99","25","183","237","119","5.59","4","3.36","189.99","349.98","7","40","28","18","0.85","0","0.0","119.99",,"3","9","4","2025-05-31"
"portable karaoke machine with 2 wireless microphones","60","1870","45846","652","1.42","760","40.64","8","1.05","59.99","399.97","104","328","206","217","11.6","2","0.92","52.79","399.97","28","96","55","41","2.19","0","0.0","49.49",,"4","20","11","2025-05-31"
"karaoke","5","39352","917159","20799","2.27","11251","28.59","223","1.98","59.99","379.99","1125","4342","2756","2350","5.97","18","0.77","49.99","349.98","283","1009","535","618","1.57","3","0.49","49.49","399.99","107","282","113","2025-05-31"
"ikarao break x2","18","116","2765","144","5.21","64","55.17","35","54.69","359.99","399.97","1","18","19","13","11.21","7","53.85","359.99","399.97","0","1","5","3","2.59","3","100.0","399.97","399.97","0","0","1","2025-05-31"
"professional karaoke systems","38","683","14295","548","3.83","341","49.93","20","5.87","379.0","379.99","7","48","59","36","5.27","2","5.56","309.99","349.98","1","3","7","1","0.15","1","100.0","349.98","349.98","0","0","0","2025-05-31"
"karokee machine with bluetooth and wireless microphone for adults","8","11371","262091","5079","1.94","4803","42.24","83","1.73","72.99","399.97","494","2017","1356","1407","12.37","11","0.78","64.98","379.99","161","582","392","390","3.43","2","0.51","69.99","449.99","56","200","86","2025-05-31"
"best karaoke machine for adults","13","1266","29146","1447","4.96","485","38.31","56","11.55","129.99","399.97","42","181","162","88","6.95","11","12.5","99.99","399.97","14","36","24","25","1.97","3","12.0","109.99","379.99","7","10","5","2025-05-31"
"kareoke","34","1901","43351","1368","3.16","627","32.98","13","2.07","59.49","379.99","82","275","150","162","8.52","1","0.62","49.99","349.98","20","75","37","44","2.31","1","2.27","49.98","349.98","11","22","7","2025-05-31"
"ikaro karaoke","99","21","699","14","2.0","6","28.57","1","16.67","155.99","349.98","1","2","3","1","4.76","1","100.0","349.98","349.98","0","0","1","1","4.76","1","100.0","349.98","349.98","0","0","1","2025-05-31"
"best karaoke machine","57","504","12561","565","4.5","162","32.14","20","12.35","129.99","449.99","9","55","41","21","4.17","1","4.76","116.99","399.99","2","8","7","3","0.6","0","0.0","64.98",,"0","1","1","2025-05-31"
"karaoke machine with lyrics display screen for adults","47","260","5746","252","4.39","116","44.62","5","4.31","119.92","379.99","5","43","36","22","8.46","3","13.64","74.99","379.99","2","9","7","3","1.15","1","33.33","299.99","349.98","2","1","0","2025-05-31"
