ASIN 或商品=["B0DCZQX11P"],报告范围=["每月"],选择年份=["2025"],选择月份=["11 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke machine for adults with lyrics display","85","2460","64848","1790","2.76","996","40.49","6","0.6","99.99","265.98","67","275","292","175","7.11","0","0.0","101.27",,"11","55","49","27","1.1","0","0.0","151.98",,"2","7","9","2025-11-30"
"pro karaoke machine for adults","67","1398","31743","1461","4.6","690","49.36","16","2.32","109.99","265.98","39","160","175","139","9.94","2","1.44","94.99","265.98","12","30","34","25","1.79","0","0.0","123.48",,"1","12","6","2025-11-30"
"ikaro shell s1","37","113","1097","135","12.31","67","59.29","36","53.73","265.98","265.98","1","21","27","12","10.62","8","66.67","265.98","265.98","0","4","3","3","2.65","2","66.67","265.98","265.98","0","1","1","2025-11-30"
"karaoke system connect to tv","99","1772","40269","1606","3.99","600","33.86","5","0.83","76.99","265.98","51","181","161","71","4.01","0","0.0","79.99",,"7","14","20","15","0.85","0","0.0","64.99",,"2","4","5","2025-11-30"
"karaoke machine hdmi","65","471","12410","577","4.65","240","50.96","9","3.75","103.99","265.98","21","55","82","28","5.94","2","7.14","109.99","265.98","2","9","11","7","1.49","2","28.57","225.24","265.98","0","1","4","2025-11-30"
"ikarao karaoke machine shell s1","23","100","2656","198","7.45","63","63.0","37","58.73","265.98","265.98","2","30","19","12","12.0","9","75.0","265.98","279.96","0","6","4","6","6.0","5","83.33","265.98","279.96","0","3","3","2025-11-30"
"tonor k20","94","879","19539","1461","7.48","374","42.55","10","2.67","199.98","265.98","11","56","117","54","6.14","0","0.0","199.98",,"3","10","14","11","1.25","0","0.0","199.98",,"1","0","5","2025-11-30"
"magic sing","45","4909","119891","2894","2.41","1908","38.87","23","1.21","498.88","265.98","41","353","473","196","3.99","2","1.02","332.49","265.98","3","47","49","23","0.47","0","0.0","205.62",,"0","10","5","2025-11-30"
"jbl karaoke","88","10084","203152","1425","0.7","4235","42.0","14","0.33","259.95","265.98","138","945","1269","605","6.0","0","0.0","259.95",,"30","151","194","69","0.68","0","0.0","239.95",,"4","21","22","2025-11-30"
"karaoke machine with screen","12","16349","380669","12884","3.38","6454","39.48","72","1.12","108.28","265.98","351","1524","1778","1010","6.18","8","0.79","129.99","265.98","64","243","294","156","0.95","2","1.28","79.0","265.98","10","44","53","2025-11-30"
"karaoke machines","58","4094","106751","1961","1.84","1513","36.96","18","1.19","59.49","265.98","103","470","355","370","9.04","2","0.54","54.99","265.98","31","109","97","64","1.56","0","0.0","56.51",,"7","22","13","2025-11-30"
