ASIN 或商品=["B0DCZQX11P"],报告范围=["每月"],选择年份=["2026"],选择月份=["4 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"home karaoke system","95","752","23242","572","2.46","196","26.06","1","0.51","94.99","349.99","29","76","45","30","3.99","0","0.0","54.98",,"7","14","5","10","1.33","0","0.0","53.99",,"4","4","2","2026-04-30"
"ikarao karaoke machine","4","4826","123001","8412","6.84","2124","44.01","167","7.86","349.99","349.99","123","981","506","413","8.56","33","7.99","332.47","349.99","29","201","91","88","1.82","6","6.82","314.99","349.99","12","54","16","2026-04-30"
"ikaro karaoke machine","32","146","4074","249","6.11","70","47.95","5","7.14","349.99","349.99","1","38","10","16","10.96","2","12.5","349.99","349.99","0","9","2","1","0.68","1","100.0","349.99","349.99","0","0","1","2026-04-30"
"karaoke machine hindi songs","57","16","444","12","2.7","7","43.75","1","14.29","159.98","349.99","0","4","1","1","6.25","1","100.0","349.99","349.99","0","0","1","1","6.25","1","100.0","349.99","349.99","0","0","1","2026-04-30"
"karaoke machine for adults","2","98762","2349172","28817","1.23","41188","41.7","125","0.3","74.99","349.99","5558","17117","9229","10162","10.29","25","0.25","56.99","349.99","1661","4442","2207","2747","2.78","12","0.44","53.99","349.99","613","1299","542","2026-04-30"
"karaoke for tv","81","801","18285","670","3.66","318","39.7","1","0.31","79.99","349.99","26","137","76","48","5.99","0","0.0","74.99",,"5","14","18","11","1.37","0","0.0","53.68",,"2","3","4","2026-04-30"
"ikarao karaoke machine for adults","42","44","1144","68","5.94","28","63.64","7","25.0","349.99","349.99","1","15","4","5","11.36","1","20.0","349.99","349.99","0","5","0","2","4.55","1","50.0","299.99","349.99","0","2","0","2026-04-30"
"personal karaoke machine","40","75","1818","17","0.94","42","56.0","2","4.76","36.99","349.99","3","20","7","13","17.33","2","15.38","17.52","349.99","0","11","2","2","2.67","1","50.0","17.52","349.99","0","2","0","2026-04-30"
"ikarao smart karaoke machine for adults","53","229","10576","320","3.03","45","19.65","6","13.33","379.98","349.99","1","28","9","13","5.68","2","15.38","332.47","349.99","0","7","3","6","2.62","0","0.0","332.47",,"0","3","2","2026-04-30"
"ikarao break x1","66","375","9090","625","6.88","206","54.93","10","4.85","569.99","349.99","2","59","67","23","6.13","0","0.0","599.99",,"0","14","6","8","2.13","0","0.0","599.99",,"0","2","4","2026-04-30"
"karaoke with screen","86","537","11389","363","3.19","186","34.64","2","1.08","169.99","349.99","15","72","39","22","4.1","1","4.55","129.21","349.99","3","8","6","2","0.37","0","0.0","74.99",,"1","1","0","2026-04-30"
"ikarao karaoke machine 680 watts","61","2","44","4","9.09","2","100.0","1","50.0","299.99","349.99","1","0","1","1","50.0","1","100.0","349.99","349.99","0","0","1","1","50.0","1","100.0","349.99","349.99","0","0","1","2026-04-30"
"maquina de karaoke para adultos","50","297","6630","95","1.43","119","40.07","1","0.84","135.99","349.99","15","32","24","28","9.43","1","3.57","99.99","349.99","6","8","3","1","0.34","1","100.0","349.99","349.99","0","0","0","2026-04-30"
"karaoke autotune","92","131","2951","185","6.27","58","44.27","5","8.62","104.99","349.99","3","22","15","6","4.58","1","16.67","74.99","349.99","1","3","2","0","0.0","0",,,,"0","0","0","2026-04-30"
"best karaoke machine for adults","27","1175","31792","1027","3.23","395","33.62","4","1.01","139.99","349.99","20","172","112","71","6.04","3","4.23","139.99","349.99","7","31","18","14","1.19","0","0.0","139.99",,"1","8","2","2026-04-30"
"karaoke machine for adults with lyrics display","98","595","17185","449","2.61","209","35.13","4","1.91","139.99","349.99","10","77","42","39","6.55","0","0.0","125.99",,"3","14","5","8","1.34","0","0.0","53.99",,"1","1","3","2026-04-30"
"ikarao s1","16","114","3276","217","6.62","63","55.26","24","38.1","349.99","349.99","2","23","25","7","6.14","4","57.14","349.99","349.99","0","4","0","3","2.63","1","33.33","324.99","349.99","0","2","0","2026-04-30"
"karaoke portable systems","36","555","18271","336","1.84","191","34.41","3","1.57","102.41","349.99","5","50","37","23","4.14","1","4.35","55.79","349.99","0","13","7","3","0.54","1","33.33","349.99","349.99","0","3","0","2026-04-30"
"karaoke system","28","2977","85383","1598","1.87","900","30.23","8","0.89","136.99","349.99","46","270","195","113","3.8","0","0.0","84.99",,"8","49","24","19","0.64","0","0.0","113.99",,"2","9","4","2026-04-30"
"karaoking karaoke machine","51","864","27911","1066","3.82","51","5.9","0","0.0","68.75",,"4","11","9","7","0.81","0","0.0","68.75",,"0","3","0","3","0.35","0","0.0","67.87",,"0","2","0","2026-04-30"
"karaoke systems","29","1482","38747","727","1.88","514","34.68","5","0.97","99.0","349.99","39","163","102","117","7.89","1","0.85","65.99","349.99","16","47","21","33","2.23","1","3.03","53.99","349.99","6","17","5","2026-04-30"
"jbl karaoke","77","4103","83525","551","0.66","1845","44.97","5","0.27","299.95","349.99","64","442","636","287","6.99","0","0.0","299.95",,"14","89","93","36","0.88","0","0.0","299.95",,"4","12","15","2026-04-30"
"karaoke machine with stereo output","58","10","241","6","2.49","9","90.0","1","11.11","215.99","349.99","0","5","3","2","20.0","1","50.0","279.0","349.99","0","1","1","1","10.0","1","100.0","349.99","349.99","0","0","1","2026-04-30"
"karaoke machine with lyrics display","14","6015","165170","3061","1.85","2551","42.41","5","0.2","110.47","349.99","234","1054","593","451","7.5","0","0.0","99.99",,"45","189","113","76","1.26","0","0.0","74.99",,"14","39","14","2026-04-30"
"ikko mind one pro","84","982","20604","626","3.04","538","54.79","2","0.37","459.0","349.99","55","118","73","5","0.51","0","0.0","16.95",,"2","0","0","0","0.0","0",,,,"0","0","0","2026-04-30"
"karaoke hdmi","47","116","3020","138","4.57","73","62.93","2","2.74","89.99","349.99","17","23","13","3","2.59","1","33.33","159.98","349.99","0","1","2","1","0.86","1","100.0","349.99","349.99","0","0","1","2026-04-30"
"kareoke machine","68","1355","41853","478","1.14","529","39.04","5","0.95","53.99","349.99","84","258","78","180","13.28","1","0.56","53.99","349.99","32","90","28","38","2.8","0","0.0","53.99",,"10","21","3","2026-04-30"
"adult karaoke machine with wireless microphone","99","11","281","8","2.85","4","36.36","2","50.0","349.99","349.99","0","1","2","2","18.18","2","100.0","349.99","349.99","0","0","1","0","0.0","0",,,,"0","0","0","2026-04-30"
"karaoke microphone","73","32827","822199","355","0.04","13404","40.83","5","0.04","19.98","349.99","2395","6090","2296","4126","12.57","1","0.02","18.98","349.99","898","1974","648","1498","4.56","0","0.0","18.98",,"384","782","220","2026-04-30"
"karaoke machine karaoke shell","65","1","60","1","1.67","1","100.0","1","100.0","349.99","349.99","0","1","0","1","100.0","1","100.0","349.99","349.99","0","1","0","1","100.0","1","100.0","349.99","349.99","0","1","0","2026-04-30"
"karoke microphone with bluetooth and wireless microphone for adults","52","346","11170","59","0.53","104","30.06","1","0.96","29.98","349.99","16","54","20","25","7.23","1","4.0","19.99","349.99","3","14","5","10","2.89","1","10.0","29.98","349.99","1","7","1","2026-04-30"
"kerokee machine with bluetooth and wireless microphone for adults","46","516","15779","142","0.9","149","28.88","2","1.34","74.99","349.99","25","70","26","43","8.33","1","2.33","84.99","349.99","6","22","7","10","1.94","1","10.0","109.99","349.99","1","6","1","2026-04-30"
"chinese karaoke machine","90","547","15151","492","3.25","248","45.34","4","1.61","628.0","349.99","1","24","7","18","3.29","0","0.0","369.0",,"0","2","0","2","0.37","0","0.0","369.0",,"0","0","0","2026-04-30"
"ikarao break x2 karaoke machine","83","365","8750","552","6.31","198","54.25","4","2.02","379.98","349.99","3","73","68","51","13.97","0","0.0","379.98",,"1","21","13","17","4.66","0","0.0","399.99",,"1","8","4","2026-04-30"
"ikarao s2","82","43","1177","83","7.05","24","55.81","3","12.5","299.99","349.99","2","8","0","7","16.28","2","28.57","299.99","349.99","1","2","0","2","4.65","0","0.0","299.99",,"0","1","0","2026-04-30"
"ikaro","87","108","2666","172","6.45","45","41.67","7","15.56","349.99","349.99","4","25","11","10","9.26","1","10.0","349.99","349.99","1","6","2","1","0.93","0","0.0","309.99",,"0","1","0","2026-04-30"
"portable karaoke machine","31","4877","128119","1522","1.19","1933","39.64","7","0.36","53.99","349.99","292","843","404","450","9.23","0","0.0","53.68",,"79","214","88","117","2.4","0","0.0","53.68",,"32","55","21","2026-04-30"
"portable karaoke machine with 2 wireless microphones","88","1272","37843","569","1.5","478","37.58","3","0.63","53.99","349.99","88","207","100","141","11.08","0","0.0","49.9",,"32","54","28","30","2.36","0","0.0","53.68",,"8","11","7","2026-04-30"
"karaoke","6","37077","907826","10307","1.14","10733","28.95","29","0.27","53.99","349.99","1465","4040","1856","2365","6.38","3","0.13","53.68","349.99","422","998","378","631","1.7","1","0.16","47.99","349.99","173","285","84","2026-04-30"
"filipino karaoke machine","74","196","5126","204","3.98","53","27.04","2","3.77","314.99","349.99","5","13","14","7","3.57","2","28.57","215.99","349.99","0","1","2","1","0.51","0","0.0","101.96",,"0","0","0","2026-04-30"
"karaoke machine large screen","60","8","206","5","2.43","4","50.0","1","25.0","349.99","349.99","0","0","3","1","12.5","1","100.0","349.99","349.99","0","0","1","1","12.5","1","100.0","349.99","349.99","0","0","1","2026-04-30"
"ikarao shell s2","43","233","6362","438","6.88","105","45.06","9","8.57","299.99","349.99","9","52","18","22","9.44","2","9.09","299.99","349.99","3","5","5","5","2.15","0","0.0","299.99",,"1","3","0","2026-04-30"
"karaoke professional","96","422","9569","315","3.29","153","36.26","1","0.65","376.54","349.99","5","40","30","18","4.27","1","5.56","209.99","349.99","1","3","3","1","0.24","0","0.0","128.59",,"0","1","0","2026-04-30"
"kareokee machine with bluetooth and wireless microphone for adults","30","7568","180560","1360","0.75","2966","39.19","6","0.2","53.99","349.99","428","1268","608","821","10.85","1","0.12","53.99","349.99","136","372","159","215","2.84","0","0.0","53.68",,"53","106","34","2026-04-30"
"ikarao - portable karaoke machine with lyrics display, 10.1"" screen, 280w, 2+2 channel, 2 wireless mics, autotune eq, hdmi for tv","55","6","322","11","3.42","7","116.67","2","28.57","299.99","349.99","0","6","0","3","50.0","1","33.33","349.99","349.99","0","2","0","1","16.67","1","100.0","349.99","349.99","0","1","0","2026-04-30"
"ikaroo karaoke machine","25","466","11152","743","6.66","192","41.2","11","5.73","324.99","349.99","17","77","49","38","8.15","4","10.53","314.99","349.99","0","18","9","1","0.21","0","0.0","399.99",,"0","0","0","2026-04-30"
"karaoke equipment","49","2135","53324","966","1.81","439","20.56","5","1.14","129.99","349.99","19","121","92","31","1.45","0","0.0","72.99",,"3","11","8","7","0.33","0","0.0","66.48",,"2","2","2","2026-04-30"
"魅鸟ktv","76","40","759","48","6.32","16","40.0","12","75.0","349.99","349.99","0","13","2","1","2.5","1","100.0","349.99","349.99","0","0","1","0","0.0","0",,,,"0","0","0","2026-04-30"
"karafun karaoke","94","146","3741","247","6.6","22","15.07","3","13.64","74.99","349.99","5","8","7","3","2.05","1","33.33","309.99","349.99","1","1","0","0","0.0","0",,,,"0","0","0","2026-04-30"
"videoke karaoke machine","8","8147","132753","8018","6.04","446","5.47","1","0.22","4003.29","21075.7","16","41","27","40","0.49","0","0.0","2107.03",,"4","5","5","4","0.05","0","0.0","23.99",,"2","1","0","2026-04-30"
"ikaro shell s1 karaoke machine","12","92","2015","158","7.84","49","53.26","22","44.9","349.99","349.99","4","18","14","12","13.04","8","66.67","349.99","349.99","1","3","2","2","2.17","2","100.0","349.99","349.99","0","0","0","2026-04-30"
"ikarao shell s1 karaoke machine","18","158","4531","277","6.11","76","48.1","14","18.42","299.99","349.99","5","34","17","19","12.03","5","26.32","299.99","349.99","1","7","5","2","1.27","1","50.0","215.99","349.99","1","0","0","2026-04-30"
