ASIN 或商品=["B0DCZQX11P"],报告范围=["每月"],选择年份=["2025"],选择月份=["12 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke machine for adults with lyrics display","57","3406","96182","1517","1.58","1330","39.05","6","0.45","119.99","262.49","59","217","315","245","7.19","2","0.82","101.27","262.49","14","44","61","83","2.44","1","1.2","91.19","265.96","6","18","18","2025-12-31"
"tonor k20 wireless karaoke machine","79","797","24054","816","3.39","358","44.92","4","1.12","199.98","262.49","8","40","111","78","9.79","2","2.56","199.98","262.49","0","8","33","27","3.39","1","3.7","199.98","265.95","0","6","6","2025-12-31"
"karaoke with lyrics on screen","29","5341","108621","5264","4.85","519","9.72","4","0.77","99.99","262.49","26","63","107","74","1.39","2","2.7","123.48","262.49","4","9","18","15","0.28","0","0.0","89.99",,"1","2","6","2025-12-31"
"karafun karaoke machine","22","2040","50934","2013","3.95","784","38.43","31","3.95","99.99","265.96","54","116","123","165","8.09","10","6.06","59.99","265.96","13","31","25","52","2.55","3","5.77","25.99","265.96","6","9","13","2025-12-31"
"karaoke microphone wireless","36","58050","1397718","3452","0.25","22965","39.56","24","0.1","21.99","265.96","3127","5672","4883","7108","12.24","2","0.03","19.99","265.96","1122","1836","1507","2462","4.24","0","0.0","19.99",,"465","720","545","2025-12-31"
"karaoke machine adults","72","3715","114692","1026","0.89","1283","34.54","4","0.31","62.99","262.49","97","232","292","332","8.94","2","0.6","59.99","262.49","26","74","79","106","2.85","1","0.94","59.99","262.49","8","23","32","2025-12-31"
"ikarao shell s3","40","599","12541","897","7.15","289","48.25","24","8.3","223.99","265.97","5","18","36","37","6.18","5","13.51","223.99","265.96","1","1","4","12","2.0","2","16.67","223.99","262.49","0","0","3","2025-12-31"
"do karaoke machines come with a microphone?","94","547","10745","562","5.23","29","5.3","3","10.34","59.99","265.97","1","5","4","10","1.83","1","10.0","59.99","265.97","0","3","0","2","0.37","1","50.0","59.99","265.97","0","0","0","2025-12-31"
"tv karaoke system","91","1237","31340","640","2.04","437","35.33","3","0.69","99.99","265.98","19","64","129","68","5.5","1","1.47","101.96","265.98","4","9","22","23","1.86","1","4.35","109.99","265.98","3","2","9","2025-12-31"
"magic sing karaoke","81","2700","64421","1706","2.65","948","35.11","10","1.05","449.99","265.96","14","79","177","91","3.37","0","0.0","298.99",,"2","5","14","10","0.37","0","0.0","501.0",,"1","1","3","2025-12-31"
"karaoke machine hdmi","84","576","15399","442","2.87","284","49.31","7","2.46","119.99","262.49","6","34","87","38","6.6","2","5.26","119.99","262.49","2","4","12","17","2.95","1","5.88","159.98","262.49","1","3","6","2025-12-31"
"karaoke systems","26","5286","128915","2080","1.61","1569","29.68","16","1.02","74.99","265.95","77","276","339","412","7.79","6","1.46","63.99","262.49","27","84","101","95","1.8","3","3.16","59.99","262.49","2","24","28","2025-12-31"
"ikarao break x2","33","1364","35290","1985","5.62","632","46.33","26","4.11","332.49","265.96","20","87","162","126","9.24","4","3.17","332.49","265.97","7","22","36","63","4.62","2","3.17","332.49","262.49","3","16","18","2025-12-31"
"tonor k20","47","1353","33220","1636","4.92","512","37.84","9","1.76","199.98","262.49","18","79","120","65","4.8","2","3.08","199.98","262.49","6","13","17","21","1.55","2","9.52","199.98","262.49","3","5","3","2025-12-31"
"karaoke machine with lyric display","95","630","15076","333","2.21","291","46.19","2","0.69","79.99","262.49","11","24","62","55","8.73","2","3.64","159.98","262.49","1","5","7","7","1.11","1","14.29","69.99","262.49","0","1","0","2025-12-31"
"pro karaoke machine for adults","37","2311","51827","1432","2.76","1185","51.28","16","1.35","129.99","262.49","61","192","273","295","12.77","8","2.71","123.48","262.49","18","64","69","68","2.94","1","1.47","99.99","262.49","8","14","22","2025-12-31"
"karaoke portable systems","34","1342","41597","770","1.85","402","29.96","7","1.74","79.99","262.49","22","74","95","69","5.14","4","5.8","63.99","262.49","5","14","22","26","1.94","4","15.38","69.99","262.49","3","6","10","2025-12-31"
