ASIN 或商品=["B0DCZQX11P"],报告范围=["每月"],选择年份=["2025"],选择月份=["5 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"magic sing","19","2622","69337","2762","3.98","852","32.49","7","0.82","479.55","299.99","29","227","261","70","2.67","0","0.0","478.85",,"3","23","23","7","0.27","0","0.0","478.85",,"1","1","3","2025-05-31"
"ikaro karaoke machine","38","50","1607","75","4.67","22","44.0","4","18.18","269.99","285.0","0","8","7","9","18.0","3","33.33","285.0","285.0","0","3","2","5","10.0","1","20.0","349.98","285.0","0","2","1","2025-05-31"
"karaoke machine to tv","94","125","2854","119","4.17","58","46.4","4","6.9","85.99","285.0","6","27","14","13","10.4","2","15.38","89.99","285.0","2","7","2","4","3.2","0","0.0","74.99",,"1","1","0","2025-05-31"
"karafun karaoke machine","20","350","8832","497","5.63","120","34.29","12","10.0","246.47","285.0","11","45","37","23","6.57","5","21.74","246.48","285.0","3","6","11","6","1.71","1","16.67","246.48","285.0","1","2","2","2025-05-31"
"ikario karaoke x2","75","4","80","4","5.0","3","75.0","1","33.33","269.99","349.99","0","2","0","2","50.0","1","50.0","269.99","349.99","0","1","0","2","50.0","1","50.0","269.99","349.99","0","1","0","2025-05-31"
"ktv machine","58","61","1379","71","5.15","17","27.87","3","17.65","99.99","285.0","4","4","2","5","8.2","1","20.0","285.0","285.0","1","0","2","2","3.28","1","50.0","69.99","285.0","1","0","1","2025-05-31"
"professional karaoke machine","29","2129","49203","1635","3.32","804","37.76","8","1.0","246.48","279.99","25","183","237","119","5.59","1","0.84","189.99","299.99","7","40","28","18","0.85","0","0.0","119.99",,"3","9","4","2025-05-31"
"magic sing karaoke system 2025","18","2639","57543","2552","4.43","1040","39.41","11","1.06","479.55","279.99","30","271","324","121","4.59","2","1.65","478.85","279.99","2","41","43","18","0.68","0","0.0","479.55",,"0","7","10","2025-05-31"
"karaoke machine for adults that connect to tv","72","5","101","6","5.94","4","80.0","1","25.0","74.99","299.99","1","1","1","1","20.0","1","100.0","299.99","299.99","0","0","0","1","20.0","1","100.0","299.99","299.99","0","0","0","2025-05-31"
"magic sing karaoke","55","872","20077","811","4.04","311","35.67","4","1.29","246.48","279.99","8","79","80","25","2.87","1","4.0","279.99","279.99","0","9","7","2","0.23","0","0.0","478.85",,"0","2","0","2025-05-31"
