ASIN 或商品=["B0DCZQX11P"],报告范围=["每月"],选择年份=["2025"],选择月份=["9 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"singing machine karaoke","34","4737","110855","1117","1.01","1660","35.04","2","0.12","119.99","299.99","87","572","470","250","5.28","1","0.4","79.99","299.99","21","90","68","35","0.74","0","0.0","79.99",,"3","15","10","2025-09-30"
"karaoke set","86","1595","42703","283","0.66","522","32.73","2","0.38","59.49","299.99","55","230","100","133","8.34","1","0.75","53.52","299.99","13","66","20","33","2.07","0","0.0","59.49",,"5","19","3","2025-09-30"
"ikarao break x1","47","532","12880","859","6.67","241","45.3","6","2.49","599.99","299.99","4","62","93","33","6.2","0","0.0","599.99",,"2","12","12","9","1.69","0","0.0","599.99",,"1","3","3","2025-09-30"
"compact karaoke machine","52","51","1142","22","1.93","24","47.06","1","4.17","21.99","299.99","4","16","3","8","15.69","1","12.5","16.99","299.99","0","8","0","1","1.96","1","100.0","299.99","299.99","0","1","0","2025-09-30"
"karaoke system for smart tv","72","781","18072","597","3.3","265","33.93","4","1.51","119.99","299.99","26","102","67","36","4.61","0","0.0","119.99",,"3","16","10","5","0.64","0","0.0","139.99",,"0","2","1","2025-09-30"
"ktv","51","1654","27523","689","2.5","336","20.31","9","2.68","349.98","299.99","25","76","32","19","1.15","0","0.0","64.96",,"1","7","1","7","0.42","0","0.0","59.49",,"0","4","0","2025-09-30"
"karaoke machine for adults, with lyrics display, 10.1"" screen, 280w","57","1","18","2","11.11","1","100.0","1","100.0","299.99","299.99","0","0","1","1","100.0","1","100.0","299.99","299.99","0","0","1","1","100.0","1","100.0","299.99","299.99","0","0","1","2025-09-30"
"karaoke systems","61","1393","36075","767","2.13","416","29.86","4","0.96","119.99","299.99","25","141","86","80","5.74","0","0.0","79.99",,"6","34","18","16","1.15","0","0.0","89.99",,"1","8","2","2025-09-30"
"shell s1","33","41","943","69","7.32","21","51.22","12","57.14","299.99","299.99","3","5","10","2","4.88","1","50.0","314.99","349.99","0","1","1","1","2.44","1","100.0","349.99","349.99","0","1","0","2025-09-30"
"ikarao kareoke machine","55","2","27","2","7.41","1","50.0","1","100.0","299.99","299.99","0","0","1","1","50.0","1","100.0","299.99","299.99","0","0","1","1","50.0","1","100.0","299.99","299.99","0","0","1","2025-09-30"
"karaoke machine plug into tv","46","64","1811","65","3.59","22","34.38","2","9.09","119.19","299.99","3","8","3","2","3.13","1","50.0","25.49","299.99","0","1","0","2","3.13","1","50.0","25.49","299.99","0","1","0","2025-09-30"
"karaoke machine with autotune","19","833","21719","796","3.66","390","46.82","8","2.05","129.99","299.99","48","145","90","53","6.36","2","3.77","129.99","299.99","8","24","6","10","1.2","1","10.0","119.99","299.99","2","5","1","2025-09-30"
