ASIN 或商品=["B0DCZQX11P"],报告范围=["每月"],选择年份=["2026"],选择月份=["5 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"karaoke audio system","68","151","3440","45","1.31","50","33.11","1","2.0","59.99","349.99","6","11","10","9","5.96","1","11.11","59.98","349.99","3","1","1","5","3.31","1","20.0","59.99","349.99","1","1","0","2026-05-31"
"ikarao karaoke","95","173","5741","265","4.62","70","40.46","4","5.71","329.99","349.99","1","21","13","9","5.2","1","11.11","332.47","349.99","1","3","1","3","1.73","0","0.0","215.99",,"0","1","1","2026-05-31"
"karaoke equipment","42","2495","62995","1143","1.81","430","17.23","8","1.86","139.99","349.99","14","110","84","38","1.52","0","0.0","77.39",,"5","8","7","10","0.4","0","0.0","53.99",,"2","4","1","2026-05-31"
"karaoke system for home","90","1095","31506","634","2.01","205","18.72","4","1.95","119.99","349.99","9","49","53","19","1.74","0","0.0","84.99",,"1","5","3","5","0.46","0","0.0","65.99",,"0","3","0","2026-05-31"
"magic sing","38","1960","52541","1020","1.94","689","35.15","7","1.02","495.0","349.99","7","168","157","68","3.47","1","1.47","495.0","349.99","1","17","14","12","0.61","0","0.0","183.99",,"1","5","0","2026-05-31"
"ikarao x1","56","77","2106","134","6.36","38","49.35","1","2.63","599.99","349.99","1","7","16","6","7.79","1","16.67","599.99","349.99","0","2","3","3","3.9","1","33.33","379.98","349.99","0","1","2","2026-05-31"
"best karaoke machine for adults","21","1445","41646","1114","2.67","483","33.43","10","2.07","122.39","349.99","44","170","133","91","6.3","1","1.1","122.39","349.99","14","32","21","24","1.66","1","4.17","89.99","349.99","7","4","10","2026-05-31"
"professional karaoke machine","46","1631","43892","963","2.19","442","27.1","4","0.9","364.7","349.99","19","97","115","54","3.31","1","1.85","332.47","349.99","3","14","9","7","0.43","0","0.0","379.98",,"1","3","2","2026-05-31"
"karaoke machine wireless microphones","80","75","1612","3","0.19","28","37.33","1","3.57","54.97","349.99","8","15","0","11","14.67","1","9.09","59.99","349.99","3","5","0","2","2.67","1","50.0","19.99","349.99","0","2","0","2026-05-31"
"karaoke machine for adults","3","110181","2686518","33653","1.25","39200","35.58","147","0.38","67.98","349.99","5673","15575","8381","10047","9.12","19","0.19","56.99","349.99","1820","4309","2014","2840","2.58","6","0.21","56.24","349.99","700","1324","503","2026-05-31"
"home karaoke machine for adults","74","41","957","21","2.19","16","39.02","1","6.25","104.99","349.99","0","5","9","6","14.63","1","16.67","122.39","349.99","0","1","4","1","2.44","1","100.0","349.99","349.99","0","0","1","2026-05-31"
"professional karaoke machine system","58","209","5042","120","2.38","70","33.49","1","1.43","189.99","349.99","2","15","19","10","4.78","1","10.0","84.99","349.99","0","1","3","1","0.48","1","100.0","349.99","349.99","0","1","0","2026-05-31"
"top rated karaoke machine for adults","54","54","1334","56","4.2","24","44.44","5","20.83","299.99","349.99","0","12","5","4","7.41","1","25.0","74.99","349.99","0","2","2","1","1.85","1","100.0","349.99","349.99","0","0","1","2026-05-31"
"home karaoke system","72","851","26362","661","2.51","212","24.91","3","1.42","79.99","349.99","30","77","40","46","5.41","1","2.17","59.99","349.99","7","13","15","12","1.41","0","0.0","71.99",,"2","2","5","2026-05-31"
"ikaroo karaoke machine","13","582","14532","885","6.09","258","44.33","18","6.98","299.99","349.99","7","126","84","53","9.11","3","5.66","299.99","349.99","2","23","23","12","2.06","2","16.67","349.99","349.99","0","4","8","2026-05-31"
"karaoke microphone wireless","62","11876","303076","636","0.21","3675","30.94","12","0.33","20.95","349.99","613","1701","673","1114","9.38","0","0.0","19.99",,"224","527","189","373","3.14","0","0.0","19.99",,"86","196","56","2026-05-31"
"karafun karaoke machine","33","611","14919","860","5.76","175","28.64","17","9.71","299.99","349.99","16","88","38","33","5.4","1","3.03","299.99","349.99","5","18","8","3","0.49","0","0.0","399.99",,"1","1","1","2026-05-31"
"shell s1","39","50","1228","63","5.13","30","60.0","12","40.0","349.99","349.99","1","19","6","1","2.0","1","100.0","349.99","349.99","0","1","0","1","2.0","1","100.0","349.99","349.99","0","1","0","2026-05-31"
"karafun karaoke","55","161","4154","244","5.87","23","14.29","5","21.74","299.99","349.99","2","8","9","4","2.48","3","75.0","349.99","349.99","0","1","3","0","0.0","0",,,,"0","0","0","2026-05-31"
"￼karaoke machine","51","1727","41746","308","0.74","529","30.63","1","0.19","53.99","349.99","67","239","105","181","10.48","1","0.55","53.67","349.99","24","80","35","42","2.43","1","2.38","53.99","349.99","11","22","4","2026-05-31"
"karaoking karaoke machine","48","1168","31533","1313","4.16","60","5.14","0","0.0","69.99",,"3","16","9","13","1.11","0","0.0","53.67",,"1","5","2","3","0.26","0","0.0","53.67",,"0","1","1","2026-05-31"
"ikarao smart karaoke machine for adults with screen lyrics display,2 wireless mi","78","3","93","6","6.45","3","100.0","1","33.33","349.99","349.99","0","3","0","2","66.67","1","50.0","349.99","349.99","0","2","0","1","33.33","1","100.0","349.99","349.99","0","1","0","2026-05-31"
"portable karaoke","93","1512","42024","701","1.67","420","27.78","0","0.0","53.98",,"69","179","89","94","6.22","0","0.0","44.99",,"22","35","22","20","1.32","0","0.0","44.99",,"3","10","3","2026-05-31"
"i karaoke shell s1","69","6","45","6","13.33","2","33.33","2","100.0","349.99","349.99","0","1","0","1","16.67","1","100.0","349.99","349.99","0","1","0","1","16.67","1","100.0","349.99","349.99","0","1","0","2026-05-31"
"ikaroa shell s1","27","3","21","2","9.52","2","66.67","2","100.0","349.99","349.99","0","2","0","2","66.67","2","100.0","349.99","349.99","0","2","0","2","66.67","2","100.0","349.99","349.99","0","2","0","2026-05-31"
"karaoke machine with lyrics display projector","47","30","715","32","4.48","10","33.33","2","20.0","314.99","349.99","0","5","1","4","13.33","2","50.0","349.99","349.99","0","2","1","1","3.33","1","100.0","349.99","349.99","0","1","0","2026-05-31"
"ikarao karaoke machine 10.1","81","1","22","2","9.09","1","100.0","1","100.0","349.99","349.99","0","0","1","1","100.0","1","100.0","349.99","349.99","0","0","1","1","100.0","1","100.0","349.99","349.99","0","0","1","2026-05-31"
"ikarao shell s2","31","384","9691","612","6.32","159","41.41","12","7.55","299.99","349.99","18","79","30","41","10.68","3","7.32","299.99","349.99","7","21","6","13","3.39","0","0.0","299.99",,"0","10","0","2026-05-31"
"karaoke systems","50","2144","55164","900","1.63","576","26.87","4","0.69","99.99","349.99","54","194","124","122","5.69","1","0.82","59.98","349.99","25","48","24","30","1.4","0","0.0","56.24",,"7","16","3","2026-05-31"
"best karaoke machines","64","26","690","20","2.9","9","34.62","2","22.22","89.99","349.99","0","4","4","2","7.69","1","50.0","53.99","349.99","0","2","0","1","3.85","1","100.0","349.99","349.99","0","1","0","2026-05-31"
"best seller karaoke machine for adults","76","20","477","13","2.73","11","55.0","1","9.09","215.98","349.99","2","4","2","1","5.0","1","100.0","349.99","349.99","0","0","1","1","5.0","1","100.0","349.99","349.99","0","0","1","2026-05-31"
"shell s1 karaoke","59","31","750","42","5.6","6","19.35","3","50.0","349.99","349.99","1","1","4","2","6.45","1","50.0","349.99","349.99","0","0","2","1","3.23","1","100.0","349.99","349.99","0","0","1","2026-05-31"
"karaoke system","17","3622","95327","1888","1.98","706","19.49","9","1.27","114.99","349.99","61","206","144","82","2.26","1","1.22","99.95","349.99","16","24","20","15","0.41","1","6.67","74.99","349.99","3","6","5","2026-05-31"
